OBJECTID,Forest_Product_Type,Name,Status,From_,Directions_1,Directions_2,Directions_3,Directions_4,ADM_UNIT_CD,GIS_Acres,GlobalID,created_user,created_date,last_edited_user,last_edited_date,stip_document,Shape__Area,Shape__Length
509,Fuelwood,"San Miguel River, Zone 1",closed,,,,,,COS05000,18640.76193119,{3B3FADF4-E91F-49F2-A4A2-147565BA7B1E},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,75436487.13967,182811.36643156
510,Fuelwood,"San Miguel River, Zone 2",closed,,,,,,COS05000,8023.92160137,{5A0F0AAA-6906-4AF2-819E-72DC6E120B09},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,32471658.6653295,77406.1026506482
511,Fuelwood,"San Miguel River, Zone 3",closed,,,,,,COS05000,1395.93526972,{091D5A6F-4271-428C-8BEE-3932A7F62B14},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,5649149.61153349,16064.9904023446
512,Fuelwood,"San Miguel River, Zone 4",closed,,,,,,COS05000,1674.50378805,{ACCB03DE-7726-4147-BC3C-747D16C608AB},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,6776476.40898607,15549.9001792459
513,Fuelwood,Sewemup Mesa,closed,,,,,,COS05000,1786.78577358,{276C144A-E046-4096-B236-C2A3C30A0C74},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,7230865.48327115,16471.5974612991
514,Fuelwood,"Spring Creek, Zone 1",closed,,,,,,COS05000,854.62468162,{15851E7F-C09C-44D1-9C57-CEC7C53223B6},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,3458543.38155486,12025.643658328
515,Fuelwood,Tabeguache,closed,,,,,,COS05000,8078.54599238,{27529CDB-8C22-4A0A-942E-59913FFBBF3D},NDOVGAN,2020/07/20 17:14:36+00,NDOVGAN,2020/10/21 21:03:18+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/UFO_BLM_Fuelwood_Guide_2020.pdf,32692715.7329331,31191.9374941526
517,Fuelwood,Arkansas Canyonlands ACEC,closed,,,,,,COF02000,19704.63264335,{6D926E4B-67F9-4A39-9187-DAF49FA2A442},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,79741819.1637806,111378.700496583
518,Fuelwood,Arkansas Canyonlands ACEC/WSA,closed,,,,,,COF02000,4002.6650189,{1538D674-D8EA-4917-9A11-B01ED91E5FA1},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,16198210.638464,52539.6204069361
519,Fuelwood,Beaver Creek ACEC,closed,,,,,,COF02000,232.64203988,{73EFA3CB-B737-4D79-911B-15820E50FD93},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,941468.933210315,11990.8763887504
520,Fuelwood,Beaver Creek ACEC/WSA,closed,,,,,,COF02000,11971.45710462,{1820D68F-1DA0-4776-BDF2-8BBBEC2AD6FD},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,48446768.0693389,85219.2762809041
521,Fuelwood,Beaver Creek WSA,closed,,,,,,COF02000,9878.03003977,{74B1006B-3E38-440F-8388-FFD69124E54C},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,39974969.3070938,64322.135077551
522,Fuelwood,Cucharas Canyon ACEC,closed,,,,,,COF02000,1404.93572825,{17FE0820-67B4-4658-8D62-A7F2D2B7713B},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,5685573.1749117,23761.3503421459
523,Fuelwood,Droney Gulch ACEC,closed,,,,,,COF02000,674.2599449,{2EB83043-D427-4370-8B04-52536AF5ADA0},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,2728633.18838992,8835.72489162121
524,Fuelwood,Garden Park ACEC,closed,,,,,,COF02000,2697.6897878,{719D32D6-5595-4058-9CB0-BF184F541E26},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,10917163.2434186,25632.9639093445
525,Fuelwood,Grape Creek ACEC,closed,,,,,,COF02000,5116.93014804,{D4B81DEB-A813-479C-967E-FCA886186626},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,20707481.6325521,68293.9227216394
526,Fuelwood,Grape Creek ACEC/WSA,closed,,,,,,COF02000,11441.40137867,{ED94A519-DD54-4C34-BCB0-BB324E26D0B9},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,46301708.65051,67775.0662694035
527,Fuelwood,High Mesa Grassland WSA,closed,,,,,,COF02000,2.28e-06,{A8366B7B-E518-4941-A0B1-E93681E2F92C},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,0.009218785,0.523270294030992
528,Fuelwood,Lower Grape Creek WSA,closed,,,,,,COF02000,7630.86064176,{114CAA66-6960-407A-8811-4100C0B1619D},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,30880997.3965309,47962.2800010345
529,Fuelwood,McIntyre Hills WSA,closed,,,,,,COF02000,13455.00612581,{E11138BB-2AA4-471C-AD37-E3675EB0E016},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,54450477.9536495,58986.432573029
530,Fuelwood,Mosquito Pass ACEC,closed,,,,,,COF02000,4186.85003576,{763224F2-3F82-4FEE-9CB3-3D6B67C31B87},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,16943580.9568598,78470.3857514275
531,Fuelwood,Phantom Canyon ACEC,closed,,,,,,COF02000,6220.64425714,{9D827D8D-D122-4B52-ABFE-7B515A52481C},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,25174054.1634659,65688.5940886074
532,Fuelwood,Phantom Canyon ACEC/WSA,closed,,,,,,COF02000,176.67864932,{779F0127-F5CE-43C8-B2DD-9E4926BC594F},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,714993.126683235,8760.25350089773
533,Fuelwood,Upper Grape Creek WSA,closed,,,,,,COF02000,3856.29479285,{ED3EC10D-1408-40D9-9BC1-EAF2D6B67EAA},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,15605871.3491076,29579.9730273717
534,Fuelwood,Browns Canyon National Monument,closed,,,,,,COF02000,9784.32695686,{8ACB385A-D671-4114-852F-AC2A373A1947},NDOVGAN,2020/07/28 16:49:00+00,NDOVGAN,2020/11/24 00:25:14+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=182,39595766.3842151,38355.5898484187
537,Fuelwood,Bill Hare Gulch,closed,,,,,,COS06000,65.95533728,{ED9F5AF5-E74F-4381-A713-16E736C55FF4},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,266911.780268135,2204.12665826817
538,Fuelwood,Handies Peak,closed,,,,,,COS06000,861.62746877,{C7FE8743-BEC4-489B-A4E7-61CF79EB4C84},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,3486882.65570606,23260.095152344
539,Fuelwood,American Flats,closed,,,,,,COS06000,82.267096,{C22A9157-FF82-4A19-94A5-D9A46930D2C9},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,332923.12581715,2831.06788410417
540,Fuelwood,Whitehead Gulch,closed,,,,,,COS06000,1855.68118497,{E7AAD3ED-84F4-44DE-BAA4-B74EEDD57A8C},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,7509675.32133885,14558.4650019711
541,Fuelwood,Weminuche Contiguous,closed,,,,,,COS06000,1405.24665901,{2D87B7BE-EB62-45AD-8834-A01D82BB3CA5},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,5686833.18617492,17039.4425955322
542,Fuelwood,Powderhorn,closed,,,,,,COS06000,6037.48922755,{ED838581-9E67-4BBB-8150-4593EA05BDE7},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,24432852.0556786,69376.7322967543
543,Fuelwood,Handies Peak,closed,,,,,,COS06000,15578.27091312,{EE6ACBF4-5694-4121-95A4-F644CDE41A32},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,63043025.6946287,93471.7631276114
544,Fuelwood,Red Cloud Peak,closed,,,,,,COS06000,38126.7905966,{B20F234C-FACF-450F-930A-1BCFD816D1E5},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,154293647.391335,96850.6984059744
545,Fuelwood,American Flats,closed,,,,,,COS06000,2938.53306842,{6FE63F19-495B-4CA0-965A-A94784B7B89F},NDOVGAN,2020/07/29 15:48:51+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,11891821.4203787,19493.5557847711
546,Fuelwood,Powderhorn ,closed,,,,,,COS06000,47865.287499,{18C736A2-61BA-445A-9883-75A59169B288},NDOVGAN,2020/07/29 15:48:52+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,193703946.125363,84755.631171665
547,Fuelwood,Uncompahgre,closed,,,,,,COS06000,3794.53260591,{B9A1E029-287A-453D-BF92-33D78B1D0970},NDOVGAN,2020/07/29 15:48:52+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=150,15355938.2592269,18322.0423036664
548,Fuelwood,Anasazi Culture Area ACEC/Mud Springs RMZ,closed,,,,,,COS01000,1161.98169544,{289537D8-97F4-49E7-B4F1-B299C30C648A},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,4702373.08692023,13652.8201530071
552,Fuelwood,Canyons of the Ancients National Monument,closed,,,,,,COS01000,175426.2122852,{9BD140EF-8193-46E9-AA36-BE413490C250},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,709924693.843657,631792.862705984
553,Fuelwood,Canyons of the Ancients NM area,closed,,,,,,COS01000,320.69574479,{DEECC09A-D2CB-4A6A-B7EB-1D35575826CD},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,1297809.63442843,8057.17112197401
554,Fuelwood,Chutes and Ladders RMZ,closed,,,,,,COS01000,894.77985183,{07BF4B3C-DC38-448D-B588-F4EC6DB5931D},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,3621045.58999787,14534.1318104405
555,Fuelwood,Cortez SRMA area,closed,,,,,,COS01000,420.54955255,{397F023C-5514-49F3-893F-B0610429618B},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,1701903.65767338,9064.59981678289
559,Fuelwood,Dolores River Canyon WSA,closed,,,,,,COS01000,15869.56185074,{6C851A9C-6A71-453B-BC14-58073F1FE567},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,64221838.2963604,103071.581774618
560,Fuelwood,Dolores River Canyon WSA Addition,closed,,,,,,COS01000,554.58554483,{58E95D93-798B-4210-BCDD-8A1EB1C49502},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,2244328.07388275,11172.0000863261
565,Fuelwood,Gypsum Valley ACEC,closed,,,,,,COS01000,5833.59726853,{5E5F26BD-B6AA-420D-945B-2C58F9EFE03C},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,23607730.5718486,64151.5737369029
568,Fuelwood,McKenna Peak WSA,closed,,,,,,COS01000,20901.77672332,{22110BD8-68FA-4D81-9BFB-73997CD0374A},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,84586489.3723391,70323.043034395
570,Fuelwood,Menefee Mountain,closed,,,,,,COS01000,7303.05391074,{520A2A92-9D2D-4113-A94A-5F6C59CEBE94},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,29554410.621818,38176.5844690244
572,Fuelwood,Mesa Verde Escarpment ACEC,closed,,,,,,COS01000,7419.47096303,{BA6218AB-7428-4724-A583-CFEF3FB18C5F},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,30025533.7175577,70721.4002835816
574,Fuelwood,Perins Peak Wildlife Habitat Management Area,closed,,,,,,COS01000,2033.84466308,{7A725A91-71FB-4091-AE84-1474B2B4D49D},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,8230677.33693764,30046.059409072
575,Fuelwood,Phil's World RMZ,closed,,,,,,COS01000,2409.55169254,{4BE1D5CD-18F1-4BA8-9A0E-2F098944976C},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,9751109.74204807,27448.8084882378
584,Fuelwood,Weber Mountain,closed,,,,,,COS01000,6291.30841523,{F2249E7E-2F0C-4178-B291-BDEF832EBFC6},NDOVGAN,2020/08/13 20:30:17+00,NDOVGAN,2020/10/21 21:03:18+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=140,25460021.865493,34646.949055822
984,Christmas Tree,8.4 Road,recommended,Grand Junction,"go west on Colorado 340 to Monument Road.Turn left onto Monument Road,and travel 8 miles, through Colorado National Monument, to DS Road (Glade Park Turnoff) and take a left. Stay on the DS Road and go past Glade Park Storego past
Glade Park Store 11 miles and take a left on 8.4 Road to access cutting area",,,,COG01000,1213.76741584,{79FBA055-40ED-4CA4-8029-B35686A13BF8},NDOVGAN,2020/09/02 15:18:08+00,NDOVGAN,2020/11/24 00:16:49+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=333,4911942.46207177,12686.5564108679
985,Christmas Tree,Farmers Canyon,recommended,Grand Junction,"go south on Highway 50 to Whitewater, CO.Turn right on Colorado Highway 141 and drive apporximately 15 miles to Divide Road. Take a left and travel approximately 1 mile up Divide Road to access the cutting area.",,,,COG01000,15229.36221874,{61BE1384-7905-413D-9834-8083B6CC96A4},NDOVGAN,2020/09/02 15:18:08+00,NDOVGAN,2020/11/24 00:16:49+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=333,61631042.3039692,52288.3453379446
986,Christmas Tree,Monument,recommended,Grand Junction,go west on Colorado 340 to Monument Road.Turn left onto Monument Road and travel 8 miles to DS Road (Glade Park Turnoff) and take a left. Travel 3 miles and take a right on road signed for BLM Christmas Tree Cutting Area.,,,,COG01000,962.06462071,{517E7E0F-5AB9-4982-94C6-AA8C98C49BF4},NDOVGAN,2020/09/02 15:18:08+00,NDOVGAN,2020/11/24 00:16:49+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=333,3893337.38909434,9310.0685106134
987,Christmas Tree,John Brown,recommended,Grand Junction,go south on Hwy 50 to Whitewater. Turn right on CO Hwy 141 and drive approx. 45 miles to Gateway. Go past Gateway on 141 and turn right on John Brown Canyon Road and continue to the cutting area which will be marked with a BLM sign.,,,,COG01000,23131.71519499,{B1D45A5B-9B0E-4C62-9A3A-8725C2626AD6},NDOVGAN,2020/09/02 15:18:08+00,NDOVGAN,2020/11/24 00:16:49+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=333,93610730.1979794,95088.0782346617
988,Christmas Tree,Tom's Canyon,recommended,Grand Junction,"go west on Colorado 340 to Monument Road.Turn left onto Monument Road,and travel 8 miles, through Colorado National Monument, to DS Road (Glade Park Turnoff) and take a left. Stay on the DS Road and go past Glade Park Store approximately 13.5 miles until you see 5.7 Road. Tom's Canyon turnoff is 1/4 mile past 5.7 Road on the right and will be signed.",,,,COG01000,14355.93975596,{848AD869-8620-44DE-8F6D-0DC77E81ED2B},NDOVGAN,2020/09/02 15:18:08+00,NDOVGAN,2020/11/24 00:16:49+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=333,58096427.0009989,38324.7039415173
989,Christmas Tree,Garfield Creek State Wildlife Area,closed,,,,,,COG02000,9395.20622482,{E12657CE-48E2-4F94-B0A7-B8825BA2D64F},NDOVGAN,2020/09/02 15:45:16+00,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,38021050.6506768,49936.2735610191
990,Christmas Tree,Rifle Gap State Park,closed,,,,,,COG02000,1303.82815861,{77F7E70B-C958-43F7-BED0-98C7C44EC96B},NDOVGAN,2020/09/02 15:45:16+00,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,5276405.35737908,14668.4956471694
991,Christmas Tree,Bull Gulch Wilderness Study Area,closed,,,,,,COG02000,15202.60293029,{8C5251DC-A4C6-4D0D-BD43-EF2DA0D28A25},NDOVGAN,2020/09/02 15:45:16+00,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,61522751.305634,60120.9414444208
992,Christmas Tree,Castle Peak Wilderness Study Area,closed,,,,,,COG02000,12237.49315508,{98A348BB-FBB7-4DCB-B7A9-090DD786D138},NDOVGAN,2020/09/02 15:45:16+00,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,49523377.7687159,43235.7762711947
993,Christmas Tree,Deep Creek,closed,,,,,,COG02000,1372.60280154,{60352422-0C55-4B3C-BEB3-5AB61D046DB0},NDOVGAN,2020/09/02 15:45:16+00,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,5554726.46281589,9052.14251283609
994,Christmas Tree,Thompson Creek,closed,,,,,,COG02000,8227.37905818,{CF11E2D7-9BC9-4156-9429-03E4AA92BC80},NDOVGAN,2020/09/02 15:45:16+00,NDOVGAN,2020/11/05 00:19:03+00,https://gis.blm.gov/CODownload/vegetation/forest_product_stips/CRVFO_BLM_Christmas_Tree_stips.pdf,33295021.7811256,33708.2757939575
995,Fuelwood,WRFO Closed Timber Cutting Area,closed,,North of State Highway 64,East of Highway 13 and North of Highway 13 at Intersection of State Hwy 64,,,CON05000,40.05911482,{C07FA776-1E96-4988-AF45-822C304B31B5},NDOVGAN,2020/09/03 13:49:21+00,NDOVGAN,2020/12/10 23:12:58+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=381,2361401827.17911,3132861.89008469
1020,Christmas Tree,Menefee Mountain,closed,,,,,,COS01000,7303.05391074,{1A129BC9-AE84-4EA5-A6F1-FEF74C65AFC5},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,29554410.621818,38176.5844690244
1021,Christmas Tree,Dolores River Canyon WSA Addition,closed,,,,,,COS01000,554.58554483,{0A6AAA07-C55E-4111-9411-5C11CB2CD50E},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,2244328.07388275,11172.0000863261
1024,Christmas Tree,Mesa Verde Escarpment ACEC,closed,,,,,,COS01000,7419.47096303,{74C7D818-0D46-4DFC-923A-649E33FF89F7},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,30025533.7175577,70721.4002835816
1028,Christmas Tree,Chutes and Ladders RMZ,closed,,,,,,COS01000,894.77985183,{CC5CC9A8-F376-4A3A-8119-C521B6A43A01},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,3621045.58999787,14534.1318104405
1032,Christmas Tree,Anasazi Culture Area ACEC/Mud Springs RMZ,closed,,,,,,COS01000,1161.98169544,{0CA30A20-B6B5-495A-BD1A-DBB8375740B5},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,4702373.08692023,13652.8201530071
1035,Christmas Tree,Gypsum Valley ACEC,closed,,,,,,COS01000,5833.59726853,{6A05560F-E715-4B32-B703-514569083099},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,23607730.5718486,64151.5737369029
1036,Christmas Tree,Perins Peak Wildlife Habitat Management Area,closed,,,,,,COS01000,2033.84466308,{263A2A67-EBB5-4F5B-9E7B-75EA0FFF513E},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,8230677.33693764,30046.059409072
1043,Christmas Tree,Phil's World RMZ,closed,,,,,,COS01000,2409.55169254,{0F923B6E-2484-4CCA-BE81-DA605A6409A7},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,9751109.74204807,27448.8084882378
1045,Christmas Tree,Weber Mountain,closed,,,,,,COS01000,6291.30841523,{75943877-0DC2-40E1-80E5-842EA566BCDA},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,25460021.865493,34646.949055822
1048,Christmas Tree,McKenna Peak WSA,closed,,,,,,COS01000,20901.77672332,{83946033-D424-4481-AF1D-AED714E84D5A},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,84586489.3723391,70323.043034395
1052,Christmas Tree,Cortez SRMA area,closed,,,,,,COS01000,420.54955255,{29D6CF02-925A-49E0-90F9-2D06C698A202},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,1701903.65767338,9064.59981678289
1054,Christmas Tree,Canyons of the Ancients National Monument,closed,,,,,,COS01000,175426.2122852,{0AE9E8E1-D46F-4EDD-997F-A6C658C46D61},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,709924693.843657,631792.862705984
1057,Christmas Tree,Dolores River Canyon WSA,closed,,,,,,COS01000,15869.56185074,{C3F86305-74C9-46AE-8472-AF7632364F19},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,64221838.2963604,103071.581774618
1058,Christmas Tree,Dolores River Canyon LWC,closed,,,,,,COS01000,370.88007909,{888D02F2-EDC2-463B-9ED5-220AB608AA31},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,1500898.43001203,10897.4609808727
1059,Christmas Tree,Canyons of the Ancients NM area,closed,,,,,,COS01000,320.69574479,{2D6B94F0-FC5B-4F5E-9F34-FD43B495247E},NDOVGAN,2020/10/21 21:54:09+00,NDOVGAN,2020/11/24 00:39:15+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=336,1297809.63442843,8057.17112197401
1060,Christmas Tree,Stoney Face Mountain,recommended,,,,,,COF02000,,{D399BD53-6CFB-4896-997C-1111312E9418},MPURNELL,2020/10/22 19:26:10+00,MPURNELL,2020/12/04 21:06:13+00,https://forestproducts.blm.gov/miscapi/GetAttachment?attachmentid=314,5004463.23120695,15602.0307785332
