labeling_budget,precision,recall,fscore
7,0.5038364249578415,0.6490170522428587,0.5672853277638013
16,0.636743334477629,0.6043771043771043,0.6201381923548421
33,0.6918678526048284,0.3548387096774194,0.469093258668964
50,0.7873607587956325,0.7753882915173238,0.781328663675167
66,0.8489429621152805,0.7654502009340719,0.8050375531884513
132,0.8412932970800331,0.7729444987509504,0.8056719121476282
198,0.84494905701279,0.8466927337895079,0.8458199967449682
330,0.8750485060147458,0.8572281959378734,0.8660466902586892
660,0.9344095055208832,0.84560660367112,0.8877929186384627
990,0.9215999088371033,0.878407733246443,0.8994856110107049
1320,0.9420120418542117,0.8751493428912782,0.9073505813462457
