labeling_budget,precision,recall,fscore,time
7,0.13075010360547037,0.06853481047029435,0.08993087721798619,155.8057347536087
16,0.2664314294367286,0.20297056587379167,0.1792015595248662,169.12420964241028
33,0.6752685266500034,0.5428478331704139,0.6018604931209923,161.449453830719
50,0.7477967175048815,0.7695231888780276,0.7585044027513851,169.60808682441711
66,0.7435490770247142,0.7784294558488107,0.7604690301495081,164.5839284658432
132,0.8452133242553035,0.7999076789399371,0.821845826853218,183.1687994003296
198,0.8475973653625015,0.8163082437275986,0.8315005449442421,166.62765264511108
330,0.9318186232612689,0.8276039969588357,0.8762502176357541,175.43829154968262
660,0.9138436460838306,0.8840827631150212,0.8987167202264283,185.1754742860794
990,0.9212165104125236,0.8784620397523624,0.8992773271395391,192.4788715839386
1320,0.9288710039619009,0.8811230585424134,0.9043624332498204,204.2505680322647
