labeling_budget,precision,recall,fscore,time
7,0.14989150428257783,0.33486477680026067,0.19801693634574194,180.48064346313475
16,0.3522311217874903,0.312045183012925,0.27445260351687156,173.8918273448944
33,0.5684497481564657,0.42058216574345614,0.4253414394963456,152.6928415298462
50,0.6058908888075507,0.5838383838383839,0.5833690449015965,168.66267619132995
66,0.679739642743759,0.6758879113717823,0.6719098375759398,165.7580211162567
132,0.6739441698251243,0.7274682306940371,0.6988004681101831,173.84450979232787
198,0.7743166289928798,0.7098512001737809,0.7367218829360251,170.13255753517151
330,0.8226602884005064,0.6894102313457152,0.7486032114065398,168.04674282073975
660,0.8079628340322573,0.8024763766699252,0.803598067913142,167.81176133155822
990,0.8364269453633704,0.8151840990550667,0.8254744387875231,172.92159657478334
1320,0.8491064093032229,0.82884761594439,0.8381970792315372,181.91366143226622
