labeling_budget,precision,recall,fscore,time
7,0.2563964101188894,0.2191539046377756,0.22434588070461478,174.16329658031464
16,0.6010630347404831,0.19034430324752905,0.22675565272887047,162.4636374115944
33,0.7121961628068242,0.582532312371022,0.6407053233204951,161.75442451238632
50,0.7728324300252368,0.7541001411969154,0.7617567830247274,168.59161216020584
66,0.7098761015575461,0.7451259910937331,0.726026828155407,158.63697797060013
132,0.8193947477786676,0.8245628326273488,0.8219678606830801,168.2335440516472
198,0.863790907996219,0.8039806668838927,0.8324866013940738,175.44712966680527
330,0.8894060678094231,0.8479282067991745,0.8677431367748584,172.05620139837265
660,0.9313865126956414,0.8633105246008471,0.8957148032457176,174.2361485362053
990,0.9251824762087731,0.8813538611925709,0.9027071458198673,185.895831823349
1320,0.9286085819526364,0.8826164874551972,0.9049797091801676,190.33657479286194
