YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code,OBJECTID
2012,8,3,DOG,40214,197
2012,8,1,DOG,40215,198
2012,8,2,DOG,40218,199
2012,8,1,DOG,40219,200
2012,8,1,DOG,40220,201
2012,8,2,DOG,40223,202
2012,8,2,DOG,40228,203
2012,8,2,DOG,40229,204
2012,8,1,DOG,40245,205
2012,8,5,DOG,40291,206
2012,8,6,DOG,40299,207
2012,9,1,CAT,40041,208
2012,9,1,CAT,40218,209
2012,9,1,CAT,40223,210
2012,9,1,CAT,40242,211
2012,9,1,DOG,40041,212
2012,9,1,DOG,40207,213
2012,9,1,DOG,40214,214
2012,9,1,DOG,40216,215
2012,9,1,DOG,40219,216
2012,9,1,DOG,40291,217
2012,9,1,DOG,40299,218
2012,10,2,CAT,40207,219
2012,10,1,CAT,40228,220
2012,10,1,CAT,40258,221
2012,10,1,DOG,40205,222
2012,10,1,DOG,40211,223
2012,10,2,DOG,40216,224
2012,10,1,DOG,40219,225
2012,10,1,DOG,40220,226
2012,10,1,DOG,40245,227
2012,10,1,DOG,40258,228
2012,10,2,DOG,40299,229
2012,11,1,CAT,40258,230
2012,11,2,DOG,40204,231
2012,11,1,DOG,40206,232
2012,11,1,DOG,40207,233
2012,11,1,DOG,40211,234
2012,11,1,DOG,40214,235
2012,11,2,DOG,40216,236
2012,11,1,DOG,40223,237
2012,11,2,DOG,40272,238
2012,11,1,DOG,40291,239
2012,11,1,DOG,40299,240
2012,12,2,CAT,40215,241
2012,12,1,CAT,40228,242
2012,12,1,CAT,40272,243
2012,12,2,DOG,40206,244
2012,12,1,DOG,40219,245
2012,12,1,DOG,40220,246
2012,12,1,DOG,40222,247
2012,12,1,DOG,40242,248
2012,12,1,DOG,40245,249
2012,12,1,DOG,40299,250
2013,1,1,CAT,40206,251
2013,1,1,DOG,40213,252
2013,1,2,DOG,40215,253
2013,1,1,DOG,40216,254
2013,1,1,DOG,40217,255
2013,1,2,DOG,40219,256
2013,1,1,DOG,40241,257
2013,1,1,DOG,40299,258
2013,2,4,CAT,40214,259
2013,2,1,CAT,40228,260
2013,2,1,CAT,40299,261
2013,2,1,DOG,40059,262
2013,2,1,DOG,40207,263
2013,2,1,DOG,40210,264
2013,2,2,DOG,40214,265
2013,2,1,DOG,40216,266
2013,2,1,DOG,40241,267
2013,2,1,DOG,40291,268
2013,3,1,CAT,40216,269
2013,3,1,CAT,40272,270
2013,3,1,DOG,40208,271
2013,3,2,DOG,40214,272
2013,3,2,DOG,40218,273
2013,3,1,DOG,40220,274
2013,3,1,DOG,40223,275
2013,3,2,DOG,40258,276
2013,3,2,DOG,40299,277
2013,4,1,CAT,40205,278
2013,4,1,CAT,40215,279
2013,4,1,CAT,40222,280
2013,4,1,DOG,40205,281
2013,4,1,DOG,40210,282
2013,4,1,DOG,40212,283
2013,4,1,DOG,40214,284
2013,4,5,DOG,40215,285
2013,4,2,DOG,40216,286
2013,4,1,DOG,40219,287
2013,4,1,DOG,40220,288
2013,4,1,DOG,40222,289
2013,4,1,DOG,40245,290
2013,4,2,DOG,40258,291
2013,4,1,DOG,40272,292
2013,4,3,DOG,40299,293
2013,5,2,CAT,40118,294
2013,5,1,CAT,40205,295
2013,5,1,CAT,40206,296
2013,5,1,CAT,40208,297
2013,5,3,CAT,40214,298
2013,5,1,CAT,40215,299
2013,5,3,CAT,40216,300
2013,5,1,CAT,40219,301
2013,5,1,CAT,40223,302
2013,5,5,CAT,40258,303
2013,5,1,CAT,40272,304
2013,5,1,DOG,40118,305
2013,5,2,DOG,40203,306
2013,5,3,DOG,40205,307
2013,5,1,DOG,40206,308
2013,5,1,DOG,40207,309
2013,5,2,DOG,40208,310
2013,5,2,DOG,40212,311
2013,5,7,DOG,40214,312
2013,5,2,DOG,40215,313
2013,5,9,DOG,40216,314
2013,5,2,DOG,40217,315
2013,5,2,DOG,40219,316
2013,5,4,DOG,40220,317
2013,5,1,DOG,40222,318
2013,5,2,DOG,40223,319
2013,5,2,DOG,40228,320
2013,5,3,DOG,40229,321
2013,5,1,DOG,40241,322
2013,5,2,DOG,40258,323
2013,5,1,DOG,40259,324
2013,5,5,DOG,40272,325
2013,5,3,DOG,40291,326
2013,5,2,DOG,40299,327
2013,6,2,CAT,40204,328
2013,6,1,CAT,40205,329
2013,6,1,CAT,40206,330
2013,6,1,CAT,40208,331
2013,6,1,CAT,40214,332
2013,6,5,CAT,40216,333
2013,6,3,CAT,40218,334
2013,6,2,CAT,40219,335
2013,6,2,CAT,40220,336
2013,6,3,CAT,40229,337
2013,6,2,CAT,40245,338
2013,6,1,CAT,40272,339
2013,6,1,CAT,40299,340
2013,6,4,DOG,40118,341
2013,6,3,DOG,40204,342
2013,6,4,DOG,40205,343
2013,6,3,DOG,40206,344
2013,6,3,DOG,40207,345
2013,6,1,DOG,40208,346
2013,6,1,DOG,40211,347
2013,6,2,DOG,40212,348
2013,6,13,DOG,40214,349
2013,6,6,DOG,40215,350
2013,6,12,DOG,40216,351
2013,6,1,DOG,40217,352
2013,6,9,DOG,40218,353
2013,6,8,DOG,40219,354
2013,6,2,DOG,40220,355
2013,6,2,DOG,40222,356
2013,6,3,DOG,40223,357
2013,6,2,DOG,40228,358
2013,6,3,DOG,40229,359
2013,6,1,DOG,40243,360
2013,6,3,DOG,40245,361
2013,6,1,DOG,4025,362
2013,6,5,DOG,40258,363
2013,6,5,DOG,40272,364
2013,6,4,DOG,40291,365
2013,6,10,DOG,40299,366
2013,6,1,DOG,40437,367
2013,6,1,DOG,47150,368
2013,7,1,CAT,40204,369
2013,7,1,CAT,40205,370
2013,7,3,CAT,40207,371
2013,7,1,CAT,40208,372
2013,7,1,CAT,40212,373
2013,7,3,CAT,40214,374
2013,7,1,CAT,40215,375
2013,7,1,CAT,40216,376
2013,7,3,CAT,40217,377
2013,7,3,CAT,40218,378
2013,7,4,CAT,40220,379
2013,7,3,CAT,40222,380
2013,7,2,CAT,40229,381
2013,7,1,CAT,40241,382
2013,7,1,CAT,40245,383
2013,7,3,CAT,40258,384
2013,7,4,CAT,40272,385
2013,7,1,CAT,40291,386
2013,7,1,CAT,40299,387
2013,7,2,DOG,40027,388
2013,7,6,DOG,40118,389
2013,7,4,DOG,40203,390
2013,7,6,DOG,40204,391
2013,7,4,DOG,40205,392
2013,7,1,DOG,40206,393
