OBJECTID,ZCTA5CE10,GEOID10,FUNCSTAT10,ALAND10,AWATER10,County,SIF_Area,GlobalID,ALAND10_1,AWATER10_1,INTPTLAT10_1,INTPTLON10_1,PARTFLG10_1,GEOID10_12,ZCTA5CE10_12,County_12,ID,Median_HH_Income
152,48238,2648238,S,13974835,0,Wayne,1,46955fee-3b83-4209-b346-9e4aa60cc7f7,13974835,0,+42.3962860,-083.1413516,N,2648238,48238,Wayne,117,23109
153,48122,2648122,S,7055271,98887,Wayne,,c9aab239-8d49-4c79-b929-865c2b4d84ed,7055271,98887,+42.2785368,-083.1825893,N,2648122,48122,Wayne,51,33735
154,48021,2648021,S,13253190,5331,,1,a28c031d-2448-47b0-a1ac-44f8dfc57dee,13253190,5331,+42.4660796,-082.9463410,N,2648021,48021,Macomb,5,41161
155,48035,2648035,S,22772757,100522,,,c8f26ef3-f07c-4985-b5b4-8a6a31e48857,22772757,100522,+42.5565996,-082.9075891,N,2648035,48035,Macomb,11,43163
156,48044,2648044,S,34968458,194242,,,9cfc937b-6b1d-4841-ba29-a5c72403d7a2,34968458,194242,+42.6502264,-082.9289054,N,2648044,48044,Macomb,16,84449
157,48094,2648094,S,45382986,2377070,,,c006929f-0236-4eee-a0da-b84871071357,45382986,2377070,+42.7368020,-083.0374907,N,2648094,48094,Macomb,44,77839
158,48089,2648089,S,20623879,4901,,1,1bb5f3ba-8b48-4b23-913d-eb8dc050624f,20623879,4901,+42.4680963,-082.9938568,N,2648089,48089,Macomb,40,34853
159,48065,2648065,S,96830565,1100722,,,101262a4-d4fc-4d64-ad89-8bedac69f5a6,96830565,1100722,+42.8451953,-083.0392897,N,2648065,48065,Macomb,23,73302
160,48050,2648050,S,48119193,169262,,,14341baf-d1c2-4463-96da-7968bb78c70a,48119193,169262,+42.7875369,-082.7994673,N,2648050,48050,Macomb,20,55766
161,48015,2648015,S,4424023,0,,,f9026b09-7218-4c23-9140-eb83f7ccdf50,4424023,0,+42.4804970,-083.0271494,N,2648015,48015,Macomb,3,31675
162,48082,2648082,S,8542622,1957359,,,6dc245e2-4e50-455b-a3d9-05c8daf4f8f2,8542622,1957359,+42.5280221,-082.8871955,N,2648082,48082,Macomb,35,52804
163,48323,2648323,S,22625294,3528983,,,2046d6b7-0958-4523-a59e-b4383655f574,22625294,3528983,+42.5708041,-083.3779085,N,2648323,48323,Oakland,137,108816
164,48098,2648098,S,24324089,30981,,,95fbb112-db78-42f7-87f9-b1ba6f3a373a,24324089,30981,+42.5984325,-083.1784500,N,2648098,48098,Oakland,47,108281
165,48381,2648381,S,51852337,1968626,,,f600a77f-e78b-4db9-bd4a-a573fdf257e4,51852337,1968626,+42.5584116,-083.5917929,N,2648381,48381,Oakland,166,76409
166,48234,2648234,S,20288109,0,Wayne,,5255d2b4-5361-4d9c-99ad-b8fffd3e4852,20288109,0,+42.4311975,-083.0395007,N,2648234,48234,Wayne,113,26110
167,48210,2648210,S,13057914,0,Wayne,1,ac7a844c-bd55-4a0e-b6b1-70637cd95b7e,13057914,0,+42.3362117,-083.1283313,N,2648210,48210,Wayne,92,25946
168,48202,2648202,S,8616314,0,Wayne,1,fb3c4fad-b621-42d9-b95e-127c203e9e04,8616314,0,+42.3747864,-083.0777179,N,2648202,48202,Wayne,84,19907
169,48235,2648235,S,16189821,0,Wayne,1,bdb26cdd-ab5a-43e5-8705-6c14bf1b04c5,16189821,0,+42.4270581,-083.1948030,N,2648235,48235,Wayne,114,29384
170,48124,2648124,S,22934067,115622,Wayne,,fe8e419a-6c2a-4656-8260-128d83b85a93,22934067,115622,+42.2980362,-083.2476095,N,2648124,48124,Wayne,52,59620
171,48183,2648183,S,48139682,2168611,Wayne,,4179b921-5943-4145-ac33-08b070af07ca,48139682,2168611,+42.1314590,-083.2177918,N,2648183,48183,Wayne,74,57623
172,48154,2648154,S,30085171,7419,Wayne,,778a1211-5fce-4335-89c8-f92b9f81fc9e,30085171,7419,+42.3971831,-083.3723195,N,2648154,48154,Wayne,64,72394
173,48240,2648240,S,9695508,0,Wayne,,df61f995-6981-412a-9961-fd15d8b57cd3,9695508,0,+42.4244600,-083.3013004,N,2648240,48240,Wayne,119,48454
174,48125,2648125,S,10489268,956,Wayne,,92c45f9f-f1dd-4ebf-9664-9181641666b3,10489268,956,+42.2773338,-083.2648321,N,2648125,48125,Wayne,53,47146
