Provider,Positive_Cases_Staff,Positive_Cases_Child,Licensed_Capacity,Tier_Level,City,State,Zip_Code,Council_District,ObjectId
Crown of Jewels Academy II,2,0,97,"$7,000 ",Louisville,KY,40219,2,72
Stony Brook Child Care,1,0,171,"$11,500 ",Louisville,KY,40291,26,73
Zion Christian Preschool,0,3,78,"$7,000 ",Louisville,KY,40217,15,74
Kiddie College of Louisville,0,4,23,"$7,000 ",Louisville,KY,40211,5,75
St. Nicholas Preschool,0,0,60,"$7,000 ",Louisville,KY,40214,25,76
Mac's Creative Kids,4,3,141,"$11,500 ",Louisville,KY,40216,1,77
Active Imaginations Child development Center,6,23,100,"$11,500 ",Louisville,KY,40207,9,78
SUNNYSIDE CHILDCARE,7,8,68,"$7,000 ",Louisville,KY,40216,1,79
Smiling Faces Child Development Center,3,8,70,"$7,000 ",Louisville,KY,40211,5,80
"Kribs2kids Academy Fairdale, LLC",0,0,40,"$7,000 ",Louisville,KY,40207,,81
Southside Christian Child Care Center #15,2,2,78,"$7,000 ",Louisville,KY,40229,,82
Buttons and Giggles Childcare and Learning Center L.L.C.,0,0,51,"$7,000 ",Louisville,KY,40214,13,83
"Primrose School of East Louisville, A and J Learning LLC",15,38,186,"$11,500 ",Louisville,KY,40223,18,84
"Laughter and Lullabies Child Care, LLC",14,36,63,"$7,000 ",Louisville,KY,40291,24,85
Peanut Butter & Jelly Kinder College,3,5,59,"$7,000 ",Louisville,KY,40211,1,86
Talk Childcare To Me L.L.C.,4,2,40,"$7,000 ",Louisville,KY,40216,1,87
BuildingAFutureAcademy,6,31,44,"$7,000 ",Louisville,KY,40213,21,88
Timothy's Angels,0,1,80,"$7,000 ",Louisville,KY,40211,1,89
All God's Children & Mary's Lil Angels,0,4,21,"$7,000 ",Louisville,KY,40218,2,90
Kiddie City Academy,5,3,20,"$7,000 ",Louisville,KY,40210,6,91
KLA Schools of Prospect,6,5,156,"$11,500 ",Prospect,KY,40059,16,92
Theresa's Terrific Kids,12,37,49,"$7,000 ",Louisville,KY,40210,6,93
Gwenniepoohs Childcare,2,3,40,"$7,000 ",Louisville,KY,40210,1,94
Young Nonprofit Foundation,0,0,49,"$7,000 ",Louisville,KY,40299-2840,11,95
"JTown Academy, Inc.",0,0,99,"$7,000 ",Louisville,KY,40299,11,96
St Raphael Archangel School: Pre- Kindergarten,0,2,74,"$7,000 ",Louisville,KY,40205,8,97
Young Kids Academy,0,0,50,"$7,000 ",Louisville,KY,40228,24,98
"Magnolia Montessori, Inc.",1,11,60,"$7,000 ",Louisville,KY,40203,4,99
"MJ & K KIDZ, Inc. dba Building Kidz School",2,12,74,"$7,000 ",Louisville,KY,40245,19,100
Kidz Korner Learning Academy,2,22,90,"$7,000 ",Louisville,KY,40291,22,101
MooMoo's Child Enrichment Center,2,5,20,"$7,000 ",Louisville,KY,40216,3,102
Skillz 4 Life,2,0,125,"$11,500 ",Louisville,KY,40203,4,103
Majestic Scholars Child Care Center,0,3,93,"$7,000 ",Louisville,KY,40211,3,104
"Primrose School at Old Henry Crossing, Almond Joy Corporation",5,7,220,"$11,500 ",Louisville,KY,40245,19,105
Peace of Mind Preschool,0,3,71,"$7,000 ",Louisville,KY,40218,10,106
Best friends Learning Academy,2,4,57,"$7,000 ",Louisville,KY,40216,1,107
Main Street Kids Academy Southwest,0,1,62,"$7,000 ",Louisville,KY,40216,12,108
Latham's Top Learn and  Play,0,5,40,"$7,000 ",Louisville,KY,40214,25,109
"Ready Set Grow Childcare, LLC",3,2,68,"$7,000 ",Louisville,KY,40205,8,110
Gifted Minds Academy Learning Center (2),1,0,49,"$7,000 ",Louisville,KY,40211,4,111
Robbin's Preschool Playhouse and ELC,2,3,43,"$7,000 ",Louisville,KY,40219,24,112
Alisha's little blessings daycare,0,4,16,"$3,500 ",Louisville,KY,40216,12,113
Evangel World Prayer Center dba Meriday Preschool,4,16,115,"$11,500 ",Louisville,KY,40220,26,114
OVEC Newburg Head Start,4,0,108,"$11,500 ",Louisville,KY,40219,2,115
Early Learning Childcare,3,9,126,"$11,500 ",Louisville,KY,40214,25,116
Lyndon Learning Center,8,6,91,"$7,000 ",Louisville,KY,40222,7,117
Auburndale Learning Academy,2,4,69,"$7,000 ",Louisville,KY,40214,25,118
Lodgic Kids Camp,2,1,60,"$7,000 ",Louisville,KY,40202,4,119
Bright Start Childcare and Preschool,0,0,199,"$11,500 ",Louisville,KY,40299,11,120
OVEC Russell Head Start/Early Head Start,1,0,76,"$7,000 ",Louisville,KY,40203,4,121
Developing Young Minds,1,4,82,"$7,000 ",Louisville,KY,40203,6,122
Suga Shane's Learning Center,0,0,26,"$7,000 ",Louisville,KY,40211,5,123
Gifted Minds Academy Learning Center,0,0,34,"$7,000 ",Louisville,KY,40211,4,124
Angel House CDC II,0,0,97,"$7,000 ",Louisville,KY,40214,25,125
Linda Caswell,0,1,6,"$3,500 ",Louisville,KY,40228,24,126
Lisa Bird,0,0,6,"$3,500 ",Louisville,KY,40205,8,127
Cary Hanna,0,2,6,"$3,500 ",Louisville,KY,40242,7,128
Amie Higgs,0,0,6,"$3,500 ",Louisville,KY,40258,12,129
Cyntee's Childcare,0,0,10,"$3,500 ",louisville,KY,40216,3,130
Robert Graves dba Mister Robert's,0,0,10,"$3,500 ",Louisville,KY,40216,3,131
Christine Jackson,2,2,6,"$3,500 ",Louisville,KY,40208,6,132
Glynis Williams,1,0,6,"$3,500 ",Louisville,KY,40219,2,133
Leslie Collins,0,5,6,"$3,500 ",Louisville,KY,40223,17,134
Wanda Alexander,0,2,6,"$3,500 ",Louisville,KY,40212,5,135
Small Footprints Childcare,3,0,13,"$3,500 ",Louisville,KY,40211,5,136
Aja Harris,0,0,6,"$3,500 ",Louisville,KY,40211,1,137
