OBJECTID,LANDUSE_TYPE,LANDUSE_SUBTYPE,LANDUSE_KEY,SHAPE_Length,SHAPE_Area
1952,03,216,Public Parks,4860.48648640495,-505167.194206444
1953,03,216,Public Parks,78102.3210911326,-19097034.6545881
1954,03,216,Public Parks,5379.97473410944,-860935.703634246
1955,03,216,Public Parks,1974.30702472817,-168867.511697696
1956,03,216,Public Parks,300.383051975415,-3850.04906148862
1957,03,216,Public Parks,7037.72648442073,-2116250.98733407
1958,03,216,Public Parks,3868.01420771912,-327637.774928118
1959,03,216,Public Parks,7660.05524755156,-1157739.2715613
1960,03,216,Public Parks,18360.6531477915,-3714895.95423424
1961,03,216,Public Parks,5807.56340753376,-456669.344495263
1962,03,216,Public Parks,4220.94545843479,-584097.483568171
1963,03,216,Public Parks,3788.74839265902,-403056.02503373
1964,03,216,Public Parks,4612.41258297112,-561849.922376876
1965,03,216,Public Parks,7599.03964561032,-944756.872708085
1966,03,216,Public Parks,5675.0093584826,-443216.589506266
1967,03,216,Public Parks,8838.13001149735,-1009277.73208426
1968,03,216,Public Parks,268814.480451154,-174637069.936942
1969,03,216,Public Parks,1843.512136447,-59728.1778534688
1970,03,216,Public Parks,1682.19880075871,-161825.996670386
1971,03,216,Public Parks,6047.85522683695,-568699.486148925
1972,03,216,Public Parks,3599.77610284134,-568194.170073799
1973,03,216,Public Parks,2580.33659812315,-402287.290472461
1974,03,216,Public Parks,5428.6934796468,-912582.129086508
1975,03,216,Public Parks,7604.58802310673,-943571.852602887
1976,03,216,Public Parks,532.108315399455,-6302.84836320825
1978,03,216,Public Parks,5949.44001926709,-837864.496615376
1979,03,216,Public Parks,2186.37739736687,-148870.310654366
1980,03,216,Public Parks,753.407153182677,-5861.88854090834
1981,03,216,Public Parks,52431.4186916758,-20182891.0759837
1982,03,216,Public Parks,13329.0437945869,-3277040.06897057
1983,03,216,Public Parks,4135.81696024123,-886762.011138984
1984,03,216,Public Parks,7354.30186009256,-789700.20814315
1985,03,216,Public Parks,2600.28524063172,-199383.196190201
1986,03,216,Public Parks,2583.49174953108,-41159.6646923216
1987,03,216,Public Parks,1944.71617487607,-218732.810220904
1988,03,216,Public Parks,3431.33486300713,-314993.797496356
1989,03,216,Public Parks,2299.31647095959,-230396.889319388
1990,03,216,Public Parks,9411.19156415957,-958485.708876405
1991,03,216,Public Parks,2733.42245966799,-129790.876519689
1992,03,216,Public Parks,3217.65604680787,-454218.39778916
1993,03,216,Public Parks,3559.32719410912,-464653.585429475
1994,03,216,Public Parks,54894.2602902086,-51543361.9538131
1995,03,216,Public Parks,16035.4168325703,-3364587.87133784
1996,03,216,Public Parks,5346.6277228233,-340851.058241988
1997,03,216,Public Parks,28775.0345239546,-4852776.68215023
1998,03,216,Public Parks,1905.9292535092,-67090.3726269058
1999,03,216,Public Parks,8357.14813489013,-897288.637108622
2000,03,216,Public Parks,2953.40787211582,-481363.631438873
2001,03,216,Public Parks,4372.26545911899,-354765.913112088
2002,03,216,Public Parks,16259.767317588,-5294343.42765436
2003,03,216,Public Parks,474.850493815954,-13041.0656924885
2004,03,216,Public Parks,4203.17800871791,-548226.008354621
2005,03,216,Public Parks,4292.68520388395,-329562.153553179
2006,03,216,Public Parks,3422.40620009206,-352969.766079756
2007,03,216,Public Parks,867.610402113104,-47378.9496162706
2008,03,216,Public Parks,583.204803417565,-16630.7828507773
2009,03,216,Public Parks,46990.3220773432,-9945325.73353912
2010,03,216,Public Parks,615.440913366393,-20854.2651011154
2011,03,216,Public Parks,1700.6559203519,-123995.928679541
2012,03,216,Public Parks,6211.6987857074,-677474.724537796
2013,03,216,Public Parks,4223.35623237881,-571860.609452161
2014,03,216,Public Parks,6969.25366641233,-550451.584478877
2015,03,216,Public Parks,4073.9771690493,-1042448.18780192
2016,03,216,Public Parks,2539.64613660963,-410288.987108027
2017,03,216,Public Parks,7622.03157153012,-1148442.15731446
2018,03,216,Public Parks,22321.0561601033,-19249669.4011619
2019,03,216,Public Parks,17454.6419455063,-4523567.42758244
2020,03,216,Public Parks,8996.11614056557,-892422.790754711
2021,03,216,Public Parks,53392.6593354251,-8051201.44694166
2022,03,216,Public Parks,2502.71262536168,-166736.188145331
2023,03,216,Public Parks,3028.00723348524,-301650.509089834
2024,03,216,Public Parks,10869.6862126659,-2247862.00093497
2025,03,216,Public Parks,2644.04828266565,-314473.770353335
2026,03,216,Public Parks,1350.72293514006,-109117.604975101
2027,03,216,Public Parks,38024.3637363773,-9209500.33898309
2028,03,216,Public Parks,3113.33498123614,-182119.110189921
2029,03,216,Public Parks,3251.84639919364,-420026.741998499
2030,03,216,Public Parks,36042.7265901354,-13740389.2422216
2031,03,216,Public Parks,1356.26751463725,-64511.8562566916
2032,03,216,Public Parks,8671.32450237996,-1264832.79440586
2033,03,216,Public Parks,1094.61856059325,-52100.7321659899
2034,03,216,Public Parks,33800.1028985617,-9941306.07277724
2035,03,216,Public Parks,7165.8520064827,-901512.968802245
2036,03,216,Public Parks,2942.75093315892,-178148.766931712
2037,03,216,Public Parks,14838.9805103601,-4254655.92344763
2038,03,216,Public Parks,288.350124526527,-3396.70811454618
2039,03,216,Public Parks,513.033631488476,-8043.75645859564
2040,03,216,Public Parks,768.690712824894,-36087.7120155768
2041,03,216,Public Parks,789.027384934419,-16086.530633114
2042,03,216,Public Parks,3283.4418783266,-305985.762804905
2043,03,216,Public Parks,1399.09728013936,-92829.3183867204
2044,03,216,Public Parks,2612.43065383254,-60507.5895997405
2045,03,216,Public Parks,24703.1179093587,-4547379.28887826
2046,03,216,Public Parks,6143.26792087562,-628078.995711893
2047,03,216,Public Parks,1051.77295353448,-20872.0094827162
2048,03,216,Public Parks,5620.14476623599,-1293674.40088388
2049,03,216,Public Parks,7905.94347657948,-2370199.79180711
2050,03,216,Public Parks,456.576944091224,-10255.5243402757
2051,03,216,Public Parks,2744.22734652369,-299382.97809268
2052,03,216,Public Parks,889.941854934163,-40069.1755377081
2053,03,216,Public Parks,1608.01396725039,-160178.248475803
2054,03,216,Public Parks,1854.39759282146,-121772.037979269
2055,03,216,Public Parks,1844.25823728164,-104622.37581572
2056,03,216,Public Parks,2109.29556195186,-127007.694720999
2057,03,216,Public Parks,3025.87056198797,-373683.545688612
2058,03,216,Public Parks,33.9686053110933,-36.8950509419498
2059,03,216,Public Parks,8004.05696916712,-1005024.35832938
2060,03,216,Public Parks,745.225014024121,-34635.0775369619
2061,03,216,Public Parks,520.248199435537,-8408.56708965977
2062,03,216,Public Parks,552.2427878836,-6683.15484984198
2063,03,216,Public Parks,877.023553827747,-17178.8046690612
2064,03,216,Public Parks,3570.98505200937,-110072.054995134
2065,03,216,Public Parks,1884.77016522603,-177143.883571098
2066,03,216,Public Parks,715.405055835211,-10701.0440934854
2067,03,216,Public Parks,23165.2470088533,-3479503.71680828
2068,03,216,Public Parks,621.213250171823,-7788.75629081149
2069,03,216,Public Parks,1897.81812649121,-170859.112078699
2070,03,216,Public Parks,3264.48934528949,-263433.829841447
2072,03,216,Public Parks,1158.12837422018,-80476.2831557031
2073,03,216,Public Parks,5298.04697945578,-1035085.81157902
2074,03,216,Public Parks,4737.97793072942,-328336.37860582
2075,03,216,Public Parks,3724.85816723939,-300012.69962617
2076,03,216,Public Parks,691.755851455733,-28600.8635793281
2077,03,216,Public Parks,1735.59735724752,-105641.677806224
2078,03,216,Public Parks,2270.20650305996,-255788.176985343
2079,03,216,Public Parks,8068.4766558259,-1814455.8155534
2080,03,216,Public Parks,570.215482994912,-6832.41269061954
2081,03,216,Public Parks,5179.06361405025,-661808.813155278
2082,03,216,Public Parks,5017.14023797393,-1365721.07632236
2083,03,216,Public Parks,2260.79794952111,-234898.338946242
2084,03,216,Public Parks,2698.28766652461,-390826.235871161
2085,03,216,Public Parks,3585.4693748337,-791221.218403518
2086,03,216,Public Parks,3297.79650205636,-600186.647618768
2088,03,216,Public Parks,905.141626613329,-38699.3749705879
2089,03,216,Public Parks,1614.08947643222,-91879.2638202543
2090,03,216,Public Parks,3198.1652513365,-334534.744155259
2091,03,216,Public Parks,2969.9239227193,-405463.712439976
2092,03,216,Public Parks,1290.30645240947,-94376.4413842089
2093,03,216,Public Parks,624.528243903476,-29952.7334332922
2094,03,216,Public Parks,6845.67782901059,-2128257.85272641
2095,03,216,Public Parks,3936.2143791967,-202498.560621969
2096,03,216,Public Parks,2700.41994154886,-195269.962603737
2097,03,216,Public Parks,3828.61989701874,-557933.624999076
2098,03,216,Public Parks,1755.61534449866,-69436.0612529238
2099,03,216,Public Parks,74.9190910521624,-0.581250122068716
2100,03,216,Public Parks,41.9723354662118,-4.54395108268439
2101,03,216,Public Parks,175.927374275568,-13.1128574703933
2102,03,216,Public Parks,424.017045599759,-1880.79743805107
2103,03,216,Public Parks,1582.27266679827,-135268.585448688
2104,03,216,Public Parks,72422.6676647991,-18968308.325717
2105,03,216,Public Parks,1413.58546367433,-97412.8820961982
2106,03,216,Public Parks,48619.8111360108,-10431339.7596824
2107,03,216,Public Parks,917.715011331813,-38132.6893255112
2108,03,216,Public Parks,3585.36406520026,-391426.060552066
2109,03,216,Public Parks,100490.878905816,-46432789.9657102
2110,03,216,Public Parks,430.19827086749,-8764.84771418727
2111,03,216,Public Parks,6637.81366120353,-797156.518751458
2112,03,216,Public Parks,915.172557907977,-19686.3568108616
2113,03,216,Public Parks,3417.1785762607,-311396.060650192
2114,03,216,Public Parks,1531.05504562119,-91356.8904269452
2115,03,216,Public Parks,6243.66059505698,-956815.481188765
2116,03,216,Public Parks,644.823377415623,-18371.5818523951
2117,03,216,Public Parks,1520.9945556087,-108332.12271604
2118,03,216,Public Parks,1483.84592198268,-128803.794081933
2119,03,216,Public Parks,254.678563758296,-3412.47092514327
2120,03,216,Public Parks,1537.64557236058,-90465.3719819035
2121,03,216,Public Parks,2232.47033083383,-210702.372318751
2122,03,216,Public Parks,2707.40556412552,-251383.931298121
2123,03,216,Public Parks,2614.41541780847,-335116.867775651
2124,03,216,Public Parks,7693.51996780277,-803371.588439782
2125,03,216,Public Parks,4374.57227538569,-249215.07621743
2126,03,216,Public Parks,12872.0577601568,-2133254.11870091
