County,District,School_Name,Program,Application_Number,Applicant,Preliminary_Grant_Application,Full_Grant_Application,Site_and_Design_Application,Site_Only_Application,Design_Only_Application,Environmental_Hardship_Application,Reduced_to_Costs_Incurred,Number_of_Elementary_School_Pupil_Grants_Requested,Number_of_Middle_School_Pupil_Grants_Requested,Number_of_High_School_Pupil_Grants_Requested,Number_of_Non_Severe_School_Pupil_Grants_Requested,Number_of_Severe_School_Pupil_Grants_Requested,Grade_Level_of_Project,State_Share_of_Funding,Site_Acquisition,Financial_Hardship,CSFA_Lease_Amount,CTEFP_Loan_Amount,Type_of_Joint_Use_Facility,Type_of_Joint_Use_Partner,Industry_Sector,Portables_Replaced,Last_SAB_Date,Status
Amador,Amador County Office Of Education,Amador County Community,New Construction,50/10033-00-001,,,1885002.00,,,126458.00,,,,25,20,,,MI,1905756.00,105704.00,2011460.00,,,,,,,7/25/2007,Closed
Amador,Amador County Office Of Education,Jackson Junior High,New Construction,50/10033-00-002,,,3628527.00,,,191261.00,,,,,,,18,MI,3819788.00,,3819788.00,,,,,,,4/24/2019,100% Completed
Amador,Amador County Office Of Education,Argonaut High,New Construction,50/10033-00-003,,,2263714.00,,,280386.00,,,,,,,18,HI,2544100.00,,2544100.00,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,Plymouth Elementary,New Construction,50/10033-00-004,,,1179788.00,,,184756.00,,,,,,26,,EL,1364544.00,,1364544.00,,,,,,,10/24/2018,100% Completed
Amador,Amador County Office Of Education,County Community School,New Construction,50/10033-00-005,,,,,,549547.00,,RCI,,,108,,,HI,59071.00,,59071.00,,,,,,,12/9/2019,Funds Released
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-98-001,,,1646890.00,,,,,,,,,,18,HI,3292040.00,,3292044.00,,,,,,,5/27/2015,Closed
Butte,Butte County Office Of Education,South County Educational Facility,New Construction,50/10041-99-001,,,3280632.00,432414.00,,416978.00,,,,27,81,,,HI,13274807.00,1172661.00,14447475.00,,,,,,,5/27/2015,Closed
Calaveras,Calaveras County Office Of Education,Mountain Ranch Community/independent Study,New Construction,50/10058-00-001,,,5650541.00,1010000.00,,1654639.00,,,,70,156,,,HI,40243824.00,7276032.00,47519880.00,,,,,,,4/20/2016,Closed
Calaveras,Calaveras County Office Of Education,Mountain Oaks,New Construction,50/10058-00-002,,,6659622.00,,,,,,143,27,108,,,EL,6659622.00,,6659622.00,,,,,,,12/15/2010,Closed
Colusa,Colusa County Office Of Education,Special Education,New Construction,50/10066-00-004,,,12541016.00,3527174.00,,863966.00,,,5,27,49,,63,HI,33512455.00,8847155.00,42273420.00,,,,,,,8/15/2018,Closed
Colusa,Colusa County Office Of Education,Pierce High,New Construction,50/10066-00-005,,,,,,165804.00,,RCI,,,,,18,HI,96992.00,,82050.00,,,,,,,11/25/2014,56% Completed
Contra Costa,Contra Costa County Office Of Education,Diablo Vista Elementary,New Construction,50/10074-98-001,,,1291424.00,,,,,,,,,,30,EL,1840161.00,,2034111.00,,,,,,,6/27/2001,Closed
Contra Costa,Contra Costa County Office Of Education,Krey Elementary,New Construction,50/10074-98-002,,,990794.00,,,215712.00,,,,,,,27,EL,2413012.00,,2413012.00,,,,,,,12/18/2002,Closed
Contra Costa,Contra Costa County Office Of Education,Heritage High,New Construction,50/10074-98-004,,,2318304.01,,,459421.00,,,,,,,36,HI,5982660.00,,5128240.04,,,,,,,11/3/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Special Education Center,New Construction,50/10074-98-005,,,,,,353520.00,,RCI,,,,,36,HI,234832.36,,234832.38,,,,,,,9/26/2018,10% Completed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center East,New Construction,50/10074-99-001,,,2620524.00,372354.00,550000.00,,,,,,108,,,HI,8876028.00,1752606.00,10628634.00,,,,,,,12/15/2010,Closed
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pal,New Construction,50/10074-99-003,,,,,,439269.00,,RCI,,,101,,,HI,2000.00,,2000.00,,,,,,,3/10/2010,Funds Released
Contra Costa,Contra Costa County Office Of Education,Alternative Education Center Pittsburg,New Construction,50/10074-99-004,,,,,,142805.00,,RCI,,,101,,,HI,142805.00,,142805.00,,,,,,,5/25/2011,10% Completed
Contra Costa,Contra Costa County Office Of Education,Community - East,New Construction,50/10074-99-005,,,2546412.00,,,474983.00,,,,,101,,,HI,15102920.00,,15102920.00,,,,,,,10/26/2022,Closed
Del Norte,Del Norte County Office Of Education,County Alternative Education Center,New Construction,50/10082-00-001,,,4795428.00,676600.00,,772049.00,,,,11,203,,,HI,127904760.00,15223500.00,137855205.00,,,,,,,10/27/2011,Closed
El Dorado,El Dorado County Office Of Education,Charter Comm. & Ext. Day,New Construction,50/10090-99-001,,,5523156.00,,,1054232.00,,,,19,127,,,HI,44638365.00,,44638365.00,,,,,,,10/26/2022,Closed
El Dorado,El Dorado County Office Of Education,Melendez School,New Construction,50/10090-99-002,,,,,,7918.24,,RCI,,153,56,,,MI,7918.24,,7918.24,,,,,,,1/25/2017,Funds Released
Fresno,Fresno County Office Of Education,Ramacher Educational Complex,New Construction,50/10108-00-001,,,2278871.50,,,362815.00,,RCI,,,54,,27,HI,6350467.50,253750.00,5013885.00,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Kermit Koontz Education Complex,New Construction,50/10108-00-002,,,7955786.00,,,916212.00,,,,,54,52,54,HI,31613616.00,,31613624.00,,,,,,,2/24/2015,Closed
Fresno,Fresno County Office Of Education,Sanger High,New Construction,50/10108-00-003,,,383942.00,,,77670.00,,RCI,,,,,7,HI,923224.00,,405632.00,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Selma High,New Construction,50/10108-00-004,,,406988.00,,,77670.00,,RCI,,,,,8,HI,969316.00,,575340.00,,,,,,,3/20/2013,Closed
Fresno,Fresno County Office Of Education,Jefferson Elementary,New Construction,50/10108-00-005,,,125707.00,,,,,,,,,,5,EL,125707.00,,,,,,,,,8/23/2006,Closed
Fresno,Fresno County Office Of Education,Teilman Educational Center,New Construction,50/10108-00-006,,,4255660.00,,,687416.00,,RCI,,81,108,,,HI,316035.00,,316035.00,,,,,,,3/20/2013,1% Completed
Fresno,Fresno County Office Of Education,Violet Heintz Education Academy,New Construction,50/10108-00-007,,,2948282.00,,,,,,,132,,,,HI,10764504.00,1028624.00,,,,,,,,2/22/2023,Closed
Fresno,Fresno County Office Of Education,Selma High,New Construction,50/10108-00-008,,,289837.00,,,,,,,,,,5,HI,289837.00,,,,,,,,,2/22/2023,Funds Released
Glenn,Glenn County Office Of Education,Willows Intermediate,New Construction,50/10116-00-001,,,721554.00,,,189742.00,,,,,,13,9,MI,3467216.00,,3467216.00,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Willows High,New Construction,50/10116-00-002,,,821636.00,,,64714.00,,,,,,13,9,HI,3412800.00,,3412808.00,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Princeton Elementary,New Construction,50/10116-00-003,,,350066.00,,,62514.00,,,,,,13,,EL,1487112.00,,1487120.00,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Plaza Elementary,New Construction,50/10116-00-004,,,643614.00,,,127228.00,,,,,,13,9,EL,3072312.00,,3072320.00,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Hamilton Elementary,New Construction,50/10116-00-005,,,495652.00,,,64714.00,,,,,,,9,EL,1120732.00,,1120732.00,,,,,,,2/23/2005,Closed
Glenn,Glenn County Office Of Education,Capay Joint Union Elementary,New Construction,50/10116-00-006,,,772300.00,,,127228.00,,,,,,13,9,EL,2248820.00,,2246975.00,,,,,,,9/23/2009,Closed
Glenn,Glenn County Office Of Education,Willows Community High,New Construction,50/10116-00-007,,,3190574.00,,,338946.00,,,,91,39,,,HI,19611708.00,1509000.00,21120720.00,,,,,,,3/26/2014,Closed
Glenn,Glenn County Office Of Education,Orland Community,New Construction,50/10116-00-008,,,3396905.00,,,333437.00,,,,90,38,,,HI,14506910.00,2402500.00,16909410.00,,,,,,,3/26/2014,Closed
Humboldt,Humboldt County Office Of Education,Eureka Educational Resource Center,New Construction,50/10124-00-001,,,3498047.00,643146.00,,,,,7,74,,,,HI,16929210.00,9318900.00,23262810.00,,,,,,,3/26/2014,Closed
Humboldt,Humboldt County Office Of Education,Glen W. Paul School For Ph,New Construction,50/10124-00-002,,,,,,613420.00,,,,,,,36,EL,323359.00,,290061.00,,,,,,,9/27/2023,Apportioned
Imperial,Imperial County Office Of Education,J. W. Oakley Elementary,New Construction,50/10132-01-001,,,1008630.00,,,8548.00,,,,,,,16,EL,2475235.00,,2601993.05,,,,,,,6/23/2004,Closed
Imperial,Imperial County Office Of Education,Worth (barbara) Junior High,New Construction,50/10132-01-002,,,737360.00,,,,,,,27,,,4,MI,1099410.00,,1112670.00,,,,,,,3/28/2001,Closed
Imperial,Imperial County Office Of Education,Del Rio Community,New Construction,50/10132-01-003,,,9068827.00,,,177949.00,,,,10,115,,,HI,26155014.00,1700769.24,26692500.06,,,,,,,1/26/2005,Closed
Imperial,Imperial County Office Of Education,Brawley High,New Construction,50/10132-01-004,,,865375.00,,,39177.00,,,,,27,,4,HI,2713656.00,,2655188.16,,,,,,,4/28/2004,Closed
Imperial,Imperial County Office Of Education,La Paloma,New Construction,50/10132-01-005,,,4177684.00,,,255484.00,,,,,,,36,MI,4433168.00,,4433168.00,,,,,,,10/26/2022,Funds Released
Imperial,Imperial County Office Of Education,Waggoner Elementary,New Construction,50/10132-02-001,,,569016.00,,,,,,13,,9,,,EL,2781840.00,,2687082.60,,,,,,,1/26/2005,Closed
Imperial,Imperial County Office Of Education,Cross Elementary,New Construction,50/10132-02-002,,,,,,510970.00,,,,,,,36,EL,255485.00,,255485.00,,,,,,,4/27/2022,Funds Released
Imperial,Imperial County Office Of Education,Kennedy Middle,New Construction,50/10132-03-001,,,1530003.00,,,155339.00,,,,,,,18,MI,2528013.00,,2528013.00,,,,,,,8/22/2007,Closed
Imperial,Imperial County Office Of Education,Valley Comm.,New Construction,50/10132-03-002,,,9562748.00,431302.00,,454261.00,,,,27,243,,54,HI,40472464.00,1628000.00,40499283.36,,,,,,,9/28/2005,Closed
Imperial,Imperial County Office Of Education,Mains Elementary,New Construction,50/10132-03-003,,,936338.00,,,77670.00,,,,,,,9,EL,1521012.00,,1521012.00,,,,,,,8/22/2007,Closed
Imperial,Imperial County Office Of Education,Cesar Chavez Elementary,New Construction,50/10132-03-004,,,498820.00,,,77670.00,,,,,,,9,EL,1301760.00,,1004200.00,,,,,,,12/15/2010,Closed
Imperial,Imperial County Office Of Education,School For Exceptional Children,New Construction,50/10132-03-005,,,,,,1290084.00,,RCI,,,,,135,EL,1299564.00,,1280604.00,,,,,,,3/28/2007,1% Completed
Imperial,Imperial County Office Of Education,Calexico High,New Construction,50/10132-03-006,,,,,,510970.00,,,,,,,36,HI,255485.00,,255485.00,,,,,,,4/27/2022,Funds Released
Imperial,Imperial County Office Of Education,La Victoria Elementary,New Construction,50/10132-03-007,,,,,,766454.00,,,,,,,54,EL,383227.00,,383227.00,,,,,,,4/27/2022,Funds Released
Imperial,Imperial County Office Of Education,De Anza 9th Grade Academy,New Construction,50/10132-03-008,,,,,,766454.00,,,,,,,54,HI,383227.00,,383227.00,,,,,,,4/27/2022,Funds Released
Inyo,Inyo County Office Of Education,Inyo County Community,New Construction,50/10140-00-001,,,4863138.00,633715.00,,,,,,14,47,,,HI,17317552.00,1925000.00,19235419.00,,,,,,,1/24/2001,Closed
Kern,Kern County Office Of Education,Richardson Center Portable Buildings,New Construction,50/10157-98-001,,,719466.00,,,,,,,,,33,9,EL,719466.00,,,,,,,,,1/25/2006,Closed
Kern,Kern County Office Of Education,Richardson Center Portable Buildings,New Construction,50/10157-98-002,,,533565.00,,,,,,,,,26,,EL,533565.00,,,,,,,,,1/25/2006,Closed
Kern,Kern County Office Of Education,Teresa Burke Elem #4,New Construction,50/10157-98-003,,,1171353.00,,,,,,,,,,36,EL,1171353.00,,,,,,,,,12/6/2006,Closed
Kern,Kern County Office Of Education,Richardson Center Portable Buildings,New Construction,50/10157-98-004,,,477466.00,,,,,,,,,26,,EL,477466.00,,,,,,,,,1/24/2007,Closed
Kern,Kern County Office Of Education,Palm Avenue Middle (formerly Elementary),New Construction,50/10157-98-005,,,304486.00,,,,,,,,,,9,EL,304486.00,,,,,,,,,4/23/2008,Closed
Kern,Kern County Office Of Education,Aurora Program School,New Construction,50/10157-98-006,,,7149621.84,,,,,,,,,,108,EL,7006877.26,142744.58,,,,,,,,5/31/2023,Funds Released
Kern,Kern County Office Of Education,Sandstone Community,New Construction,50/10157-99-001,,,2157513.00,,,,,,,22,188,,,HI,1822933.00,334580.00,,,,,,,,12/12/2001,Closed
Kern,Kern County Office Of Education,Kelly F. Blanton Student Ed. Center,New Construction,50/10157-99-002,,,332101.00,,,,,,,,32,,,HI,332101.00,,,,,,,,,1/25/2006,Closed
Kern,Kern County Office Of Education,North Kern Community School-delano,New Construction,50/10157-99-003,,,4373178.00,,,,,,,,189,,,HI,13586420.00,3891624.00,,,,,,,,10/16/2014,Closed
Kings,Kings County Office Of Education,Liberty Middle,New Construction,50/10165-00-007,,,307322.00,,,,,,,,,,8,MI,546092.00,,654028.92,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Lemoore Elementary,New Construction,50/10165-00-008,,,305501.00,,,,,,,,,,8,EL,542284.00,,657344.48,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Hanford High,New Construction,50/10165-00-009,,,339856.00,,,,,,,,,,9,HI,605452.00,,584584.48,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,"""martin Luther King, Jr Element""",New Construction,50/10165-00-010,,,311147.00,,,,,,,,,,8,EL,553576.00,,635050.64,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Corcoran High (corcoran Jt. Usd),New Construction,50/10165-00-011,,,349472.00,,,,,,,,,,9,HI,624684.00,,537578.00,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,Roosevelt Elementary,New Construction,50/10165-00-012,,,305035.00,,,,,,,,,,8,EL,541352.00,,662795.32,,,,,,,4/28/2004,Closed
Kings,Kings County Office Of Education,New Community School,New Construction,50/10165-00-013,,,4513354.00,,,515394.00,,,,,165,,,HI,12113526.45,509035.00,5078896.05,,,,,,,9/27/2006,Closed
Kings,Kings County Office Of Education,New Special Education Center,New Construction,50/10165-00-014,,,6869242.54,,,1050106.00,,RCI,,,,,108,EL,844224.00,,844224.00,,,,,,,12/12/2007,Funds Released
Kings,Kings County Office Of Education,Fremont Elementary,New Construction,50/10165-00-015,,,558883.00,,,87509.00,,,,,,,9,EL,1615980.00,,1046495.00,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,John Muir Middle,New Construction,50/10165-00-016,,,559613.00,,,87509.00,,,,,,,9,MI,1617805.00,,863580.00,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Stratford Elementary,New Construction,50/10165-00-017,,,1478014.00,,,175018.00,,,,,,,18,EL,4132580.00,,871690.00,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Gardenside Elementary,New Construction,50/10165-00-018,,,593071.00,,,87509.00,,,,,,,9,EL,1701450.00,,951690.00,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Lakeside Elementary,New Construction,50/10165-00-019,,,567255.00,,,87509.00,,,,,,,9,EL,1636910.00,,947475.00,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Lemoore High,New Construction,50/10165-00-020,,,851575.00,,,87509.00,,,,,,,9,HI,2347710.00,,1936430.00,,,,,,,12/10/2008,Closed
Kings,Kings County Office Of Education,Pioneer Elementary,New Construction,50/10165-00-021,,,559955.00,,,87509.00,,,,,,,9,EL,1618660.00,,835430.00,,,,,,,12/10/2008,Closed
Lake,Lake County Office Of Education,Lloyd Hance Community,New Construction,50/10173-01-001,,,1755555.00,,,272512.00,,,13,4,53,,,MI,3645012.00,,2227836.00,,,,,,,9/6/2017,Closed
Lake,Lake County Office Of Education,Clearlake Community,New Construction,50/10173-02-001,,,4383849.00,258616.00,,12067.00,,,,1,39,,,HI,28623476.00,1692194.00,30800532.00,,,,,,,7/10/2013,Closed
Lassen,Lassen County Office Of Education,Community School,New Construction,50/10181-99-001,,,,482025.00,,,,RCI,,22,36,,,HI,253521.00,365000.00,256530.76,,,,,,,9/30/2020,Funds Released
Los Angeles,Los Angeles County Office Of Education,Buena Vista Elementary,New Construction,50/10199-00-001,,,4185460.00,,,,,,161,,,,,EL,8370920.00,,8342030.56,,,,,,,10/26/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Lancaster Elementary Addition,New Construction,50/10199-00-002,,,1238202.00,,,52400.00,,,50,,,,,EL,3871806.00,,1323846.00,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Gabrielino High,New Construction,50/10199-00-003,,,1755128.00,,,,,,,,54,,,HI,2632692.00,,2632692.00,,,,,,,7/28/1999,Closed
Los Angeles,Los Angeles County Office Of Education,Little Rock High,New Construction,50/10199-00-004,,,477263.00,,,39177.00,,,,,27,,,HI,1549320.00,,260146.68,,,,,,,6/28/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Hillgrove Child Care,New Construction,50/10199-00-005,,,,,,52400.00,,RCI,50,,,,,EL,157200.00,,157200.00,,,,,,,12/8/1999,5% Completed
Los Angeles,Los Angeles County Office Of Education,Imperial Elementary,New Construction,50/10199-00-006,,,,,,6140.00,,RCI,,,,,19,EL,12280.00,,12280.00,,,,,,,12/8/2004,20% Completed
Los Angeles,Los Angeles County Office Of Education,Lancaster Project,New Construction,50/10199-00-007,,,828405.00,,,39177.00,,,,,27,,,HI,4396570.64,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Quartz Hill High,New Construction,50/10199-00-008,,,445957.00,,,39177.00,,,,,27,,,HI,1455402.00,,349636.86,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Ocotillo Elementary,New Construction,50/10199-00-009,,,1807714.00,,,,,,81,,,,,EL,3615428.00,,2574802.32,,,,,,,5/25/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Tumbleweed Elementary,New Construction,50/10199-00-010,,,,,,26200.00,,RCI,,,,,25,EL,26200.00,,26200.00,,,,,,,2/23/2005,98% Completed
Los Angeles,Los Angeles County Office Of Education,Antelope Valley High,New Construction,50/10199-00-011,,,444132.00,,,78354.00,,,,,27,,,HI,6151716.72,,,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Highland High Addition #2,New Construction,50/10199-00-012,,,836649.00,,,39177.00,,,,,27,,,HI,4672079.86,,,,,,,,,2/22/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Paramount Elementary School,New Construction,50/10199-00-013,,,,1680100.00,,78600.00,,RCI,,,,,75,EL,707400.00,6305317.74,7012717.65,,,,,,,12/9/2020,40% Completed
Los Angeles,Los Angeles County Office Of Education,Montebello High,New Construction,50/10199-00-014,,,,,,78354.00,,RCI,,,54,,,HI,156264.00,,156264.00,,,,,,,4/25/2007,20% Completed
Los Angeles,Los Angeles County Office Of Education,Amargosa Creek Middle,New Construction,50/10199-00-016,,,1390186.00,,,,,,,,44,,,HI,2780372.00,,942312.00,,,,,,,8/23/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Northrup (jack) Elementary,New Construction,50/10199-00-017,,,685884.00,,,52400.00,,,,,,,18,EL,2214852.00,,2196485.82,,,,,,,3/22/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Caldwell Street Elementary,New Construction,50/10199-00-020,,,2164866.00,,,78600.00,,,,,,,34,EL,4358336.00,,4358340.00,,,,,,,8/25/2010,Closed
Los Angeles,Los Angeles County Office Of Education,Cole (gifford) Middle,New Construction,50/10199-00-021,,,1019316.00,,,78354.00,,,,,,,27,MI,2299185.00,,2299180.00,,,,,,,8/25/2010,Closed
Los Angeles,Los Angeles County Office Of Education,Highland High,New Construction,50/10199-00-022,,,914790.00,,,,,,,,28,,,HI,1958908.50,,1958908.50,,,,,,,2/26/2020,Closed
Los Angeles,Los Angeles County Office Of Education,Bridgeport Elementary,New Construction,50/10199-00-023,,,761124.00,,,52400.00,,,,,,,18,EL,2440572.00,,2435142.00,,,,,,,8/24/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Redview Learning Center,New Construction,50/10199-00-024,,,,,,78354.00,,RCI,,,14,,,HI,15000.00,,15000.00,,,,,,,5/28/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,La Merced Elementary At Montebello Unified,New Construction,50/10199-00-025,,,,,,52400.00,,RCI,50,,,,,EL,104434.04,,104434.08,,,,,,,4/25/2007,15% Completed
Los Angeles,Los Angeles County Office Of Education,Charles T. Kranz Intermediate,New Construction,50/10199-00-026,,,344187.00,,,18209.00,,,,,,,9,MI,1087188.00,,509620.38,,,,,,,6/28/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Hillgrove Elementary Addition,New Construction,50/10199-00-027,,,2324770.00,,,109600.00,,,100,,,,,EL,7303110.00,,1678597.14,,,,,,,4/28/2004,Closed
Los Angeles,Los Angeles County Office Of Education,Desert Pathways Comm/sp.ed.,New Construction,50/10199-00-028,,,8834628.00,,,789048.00,,,,,,,117,HI,28871028.00,,15998782.50,,,,,,,2/28/2007,Closed
Los Angeles,Los Angeles County Office Of Education,Gidley Elementary,New Construction,50/10199-00-029,,,147458.76,,,40970.00,,,,,,,6,HI,1138176.60,,1122968.52,,,,,,,8/22/2007,Closed
Los Angeles,Los Angeles County Office Of Education,Rio Vista Elementary,New Construction,50/10199-00-030,,,683822.00,,,40970.00,,,,,,,18,HI,2174376.00,,1926702.00,,,,,,,10/29/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Sanchez (fern) Elementary,New Construction,50/10199-00-031,,,748450.00,,,27400.00,,,,,,,18,EL,12413600.00,,,,,,,,,11/25/2014,Closed
Los Angeles,Los Angeles County Office Of Education,South El Monte High,New Construction,50/10199-00-032,,,964982.00,,,81940.00,,,,,,,26,HI,3140766.00,,2061594.00,,,,,,,12/10/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Valle Lindo Continuation High,New Construction,50/10199-00-033,,,844888.00,,,40970.00,,,,,,,22,HI,2657574.00,,1577454.00,,,,,,,12/10/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Barfield (c. Joseph) Elem.,New Construction,50/10199-00-034,,,,,,81940.00,,RCI,,,14,,,HI,10000.00,,10000.00,,,,,,,1/22/2003,20% Completed
Los Angeles,Los Angeles County Office Of Education,Kingsley Elementary,New Construction,50/10199-00-035,,,,,,81940.00,,RCI,,,54,,,HI,10000.00,,10000.00,,,,,,,1/22/2003,5% Completed
Los Angeles,Los Angeles County Office Of Education,I Poly New High,New Construction,50/10199-00-037,,,,,,901336.00,,RCI,,,594,,,HI,2704008.00,,2704008.00,,,,,,,7/27/2005,20% Completed
Los Angeles,Los Angeles County Office Of Education,New Community #1,New Construction,50/10199-00-038,,,,,,327758.00,,RCI,,,14,,,HI,506785.52,,506785.52,,,,,,,8/27/2003,75% Completed
Los Angeles,Los Angeles County Office Of Education,Jonas Salk,New Construction,50/10199-00-039,,,4510708.00,4069000.00,,327758.00,,,,,206,,,HI,68370120.00,58888050.00,125300490.00,,,,,,,12/5/2016,Closed
Los Angeles,Los Angeles County Office Of Education,Lincoln Addition,New Construction,50/10199-00-040,,,2703316.00,,,81940.00,,,,,,,54,EL,8355768.00,,8327140.14,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Thompson Elementary (oh),New Construction,50/10199-00-041,,,120094.00,,,40970.00,,,,,,,4,EL,483192.00,,432750.00,,,,,,,5/3/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Moorfield  Addition,New Construction,50/10199-00-042,,,621442.00,,,40970.00,,,,,,,15,HI,6955326.00,,,,,,,,,11/25/2014,Closed
Los Angeles,Los Angeles County Office Of Education,New Elementary - Sulphur Springs,New Construction,50/10199-00-044,,,720008.00,,,40970.00,,,,,,,18,EL,2282934.00,,2139469.74,,,,,,,4/28/2004,Closed
Los Angeles,Los Angeles County Office Of Education,Northlake Elementary,New Construction,50/10199-00-045,,,740874.00,,,40970.00,,,,,,,18,EL,2345532.00,,2195000.58,,,,,,,12/15/2005,Closed
Los Angeles,Los Angeles County Office Of Education,M. Mcgrath New Elementary,New Construction,50/10199-00-046,,,1838672.00,,,75870.00,,,,,,,45,EL,3829084.00,,3825436.00,,,,,,,1/30/2008,Closed
Los Angeles,Los Angeles County Office Of Education,Fair Valley High,New Construction,50/10199-00-047,,,1498423.00,,,122909.00,,,,,,,27,HI,4863996.00,,4853592.60,,,,,,,9/28/2005,Closed
Los Angeles,Los Angeles County Office Of Education,Leuzinger High,New Construction,50/10199-00-048,,,1200078.00,,,,,,,,,,27,HI,2400156.00,,1388964.96,,,,,,,1/25/2006,Closed
Los Angeles,Los Angeles County Office Of Education,Community #3- Long Beach,New Construction,50/10199-00-049,,,,,,337349.00,,RCI,,,108,,,HI,433105.96,,433106.00,,,,,,,8/27/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,Community #4 Palmdale,New Construction,50/10199-00-050,,,,,,337349.00,,RCI,,,108,,,HI,8409.72,,8409.72,,,,,,,7/2/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,Community  #5 Monrovia,New Construction,50/10199-00-051,,,,,,337349.00,,RCI,,,108,,,HI,442005.24,,442005.24,,,,,,,8/27/2003,10% Completed
Los Angeles,Los Angeles County Office Of Education,Community #6 Mid-wilshire,New Construction,50/10199-00-052,,,,,,843372.00,,RCI,,,270,,,HI,21099.52,,21099.56,,,,,,,7/2/2003,Funds Released
Los Angeles,Los Angeles County Office Of Education,Community #7 Duarte,New Construction,50/10199-00-053,,,,,,843372.00,,RCI,,,270,,,HI,19823.60,,19823.64,,,,,,,7/2/2003,Funds Released
Los Angeles,Los Angeles County Office Of Education,San Marino High,New Construction,50/10199-00-054,,,724792.00,,,,,,,,,,18,HI,1449584.00,,1352250.00,,,,,,,8/4/2004,Closed
Los Angeles,Los Angeles County Office Of Education,Emblem Elementary,New Construction,50/10199-00-055,,,,,,225600.00,,,100,,,,,EL,1135740.00,,1135752.00,,,,,,,4/24/2017,Closed
Los Angeles,Los Angeles County Office Of Education,Old Orchard Elementary,New Construction,50/10199-00-056,,,,,,63168.00,,RCI,28,,,,,EL,22910.00,,22910.00,,,,,,,4/23/2008,100% Completed
Los Angeles,Los Angeles County Office Of Education,Willow Elementary,New Construction,50/10199-00-057,,,,,,63168.00,,RCI,28,,,,,EL,6000.00,,6000.00,,,,,,,3/26/2003,5% Completed
Los Angeles,Los Angeles County Office Of Education,Doty Middle (aka East Middle),New Construction,50/10199-00-058,,,,,,112800.00,,RCI,50,,,,,EL,6350.00,,6350.00,,,,,,,6/27/2018,98% Completed
Los Angeles,Los Angeles County Office Of Education,Community  #8,New Construction,50/10199-00-060,,,,,,253012.00,,RCI,,,14,,,HI,413747.20,,413747.24,,,,,,,8/27/2003,75% Completed
Los Angeles,Los Angeles County Office Of Education,La Merced Elementary At Montebello Unified,New Construction,50/10199-00-061,,,,,,119990.00,,RCI,50,,,,1,MI,15132.00,,15132.00,,,,,,,9/26/2007,15% Completed
Los Angeles,Los Angeles County Office Of Education,Rosewood Elementary Addition-montebello,New Construction,50/10199-00-062,,,,,,129427.00,,RCI,,,,,18,EL,24932.00,,24932.00,,,,,,,4/23/2008,75% Completed
Los Angeles,Los Angeles County Office Of Education,Edgewood Middle,New Construction,50/10199-00-064,,,556933.00,,,194141.00,,,,,,,18,MI,1246368.00,,1246368.00,,,,,,,8/25/2010,Closed
