OBJECTID,WSR_NAME,WSR_CLASS,ORV,CASEFILE,DSG_MILES,BLM_ORG_CD,GIS_MILES,SHAPE_Length
555,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.38352124,0.0069587356525522
556,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.20455934,0.00363841757922456
557,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.3314202,0.00571372817372254
558,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.13320256,0.00230839214913732
559,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,2.91706015,0.0509623528934327
560,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.22711433,0.00452139633819469
561,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.36080868,0.00637827557366688
562,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.39396914,0.00676207891909109
563,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.4918877,0.00778316788687891
564,Grande Ronde River Segment D,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044718,,ORV05,1.34876768,0.0249684067144384
565,Kiger Creek,WILD,FISH/GEOL/WLDL,OROR 061067,,ORB06,0.11209681,0.00170413462419013
566,Kiger Creek,WILD,FISH/GEOL/WLDL,OROR 061067,,ORB06,0.06120956,0.0009154352308245
567,Grande Ronde River Segment B,WILD,FISH/PREH/REC/SCENIC/WLDL,OROR 044719,,ORV05,0.19064497,0.00289488712187923
568,Owyhee River (South and Upper),WILD,GEOL/HIST/PREH/REC/SCENIC/WLDL,OROR 038026,,ORV00,0.12120152,0.00239533949736579
569,Wallowa River,REC,FISH/PREH/REC/SCENIC/WLDL,OROR 044761,,ORV05,0.11540412,0.00224095758467907
