OBJECTID,WSR_NAME,WSR_CLASS,ORV,CASEFILE,DSG_MILES,BLM_ORG_CD,GIS_MILES,SHAPE_Length
726,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.03436894,0.000505883086998237
727,John Day River,REC,CULT/FISH/GEOL/OTHR/REC/SCENIC/WLDL,OROR 044721,,ORP04,0.00802078,0.0001181451451502
728,Rogue River,WILD,FISH/REC/SCENIC,OROR 004337A,,ORM07,0.0246053,0.000426100810754848
729,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,2.48157281,0.0434200452082712
730,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.58588962,0.010254108143696
731,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.00955197,0.000183431486256707
732,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.0488604,0.000968492145204321
733,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.07019723,0.0010231506196476
734,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.77046221,0.0131496638650434
735,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.15253594,0.00269359980609617
736,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.77225887,0.0127116833350752
737,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.1022807,0.00183025671802295
738,South Fork John Day River,REC,FISH/REC/SCENIC/WLDL,OROR 044748,,ORP04,0.00144152,2.90498538554138e-05
739,Donner and Blitzen Segment C South Fork,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.0406036,0.000602014304647557
740,Donner and Blitzen Segment C South Fork,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.34661512,0.00596191735093089
741,Donner and Blitzen Segment C South Fork,WILD,FISH/GEOL/HIST/OTHR/REC/SCENIC/WLDL,OROR 044715,,ORB06,0.72111013,0.0122183095532844
