OBJECTID,PLANID,BLM_ORG_CD,OHV_DSG,DSG_REASON,RESTRICT_,RESTRICT_DETAIL,SHAPE_Length,SHAPE_Area
1084,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.229326613493286,0.00108205646086148
1085,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.0466953196794548,4.74707567977087e-05
1086,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.0494089009088012,9.89973061704054e-05
1087,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.0749340447504431,0.000295455779909586
1088,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.0117745744245201,8.68903815887426e-06
1089,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.100029392654534,0.000323109876616068
1090,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.0658033813436705,0.000260433513983604
1091,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,ERMA,,,0.531270872333286,0.00524702343803124
1092,Southwestern Oregon RMP 2016,ORM07,Closed,ACEC,,,0.111183504679388,0.000305546408473331
1093,Southwestern Oregon RMP 2016,ORM07,Closed,ACEC,,,0.0870762930913698,0.000446851838215312
1094,Southwestern Oregon RMP 2016,ORM07,Closed,WILDCHAR,,,0.349108503997917,0.00234102953898623
1095,Southwestern Oregon RMP 2016,ORM07,Closed,ERMA,,,0.0379701998939457,6.72822064814504e-06
1096,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,SRMA,,,0.0928210416468919,0.000286513224100856
1097,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0685516277710844,0.000287074902921866
1098,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.017142340241103,1.79976264053407e-05
1099,Northwestern and Coastal Oregon RMP 2016,ORC04,Limited to Existing,BLM,,,0.0169950480877509,1.76818717531272e-05
1100,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.026628139397662,3.52332611923078e-05
1101,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171231480023866,1.7954276242131e-05
1102,Lakeview Resource Area RMP 2003,ORL05,Open,BLMOPEN,,,0.0243694535107621,3.56403945021595e-05
1103,Southwestern Oregon RMP 2016,ORM07,Limited to Existing,BLM,,,0.0171839315777381,1.80159337358571e-05
1104,Southwestern Oregon RMP 2016,ORL04,Limited to Existing,BLM,,,0.0173758075652977,1.82687614097156e-05
1105,Southeastern Oregon RMP 2002,ORV04,Limited to Existing,SGHAB,,,0.0173190407582093,1.83186455169459e-05
