OBJECTID,name,reportdt,confirmed,recovered,deaths,active,GlobalID,tested,Negative,NewCases,NewDailyDeaths,NewDailyTested,DailyPercentPositive,TotalPercentPositive,NewDailyNegative,ThreeDayAvg,SevenDayAvg,TotalDoses,TotalRecipients,NewDailyDoses,NewDailyRecipients,Total1DoseRecipients,Total2DoseRecipients,TotalJJDoses,TotalJJRecipients,TotalVaccinated,Pfizer3DoseRecipients,Moderna3DoseRecipients,Total3DoseRecipients,PartialVaccinated
410,Lincoln,2021/04/26 17:50:00+00,8583,8352,77,154,51daad80-2528-4d30-ac1f-40198ffa8a5b,30826,22243,8,0,31,25.8064516129032,27.8433789658081,23,9.667,11.429,46170,25714,600,48,5258,20456,766,766,21222,,,,
411,Lincoln,2021/04/27 17:02:00+00,8599,8375,77,147,3c9db779-fca6-47f0-ae13-7ee56460fb80,30890,22291,16,0,64,25,27.8374878601489,48,8,11.571,46363,25764,192,49,5165,20599,768,768,21367,,,,
412,Lincoln,2021/04/28 15:56:00+00,8607,8386,77,144,95cbbdc4-c97b-443a-b820-b103f456c984,30952,22345,8,0,62,12.9032258064516,27.8075730162833,54,10.7,10.4,46785,25852,422,87,4919,20933,768,768,21701,,,,
413,Lincoln,2021/04/29 17:19:00+00,8618,8402,77,139,b8b39305-1e35-421b-8020-2241164bc4e8,31011,22393,11,0,59,18.6440677966102,27.7901389829415,48,11.667,11,47271,25878,485,25,4485,21393,771,771,22164,,,,
414,Lincoln,2021/04/30 17:15:00+00,8621,8422,77,122,c2b8ff9d-4912-47a3-bac1-948057015b1a,31048,22427,3,0,37,8.10810810810811,27.76668384437,34,7.3,9.6,47840,25963,569,83,4087,21876,774,774,22650,,,,
415,Lincoln,2021/05/01 12:00:00+00,8621,8422,77,122,059b21c9-9dbf-446b-845d-12fd832e71f3,31048,22427,0,0,0,8.10810810810811,27.76668384437,0,7.3,9.6,47840,25963,0,0,4087,21876,774,774,22650,,,,
416,Lincoln,2021/05/02 12:00:00+00,8621,8422,77,122,d221fab6-200c-4f76-9e5b-99690d632cf6,31048,22427,0,0,0,8.10810810810811,27.76668384437,0,7.3,9.6,47840,25963,0,0,4087,21876,774,774,22650,,,,
417,Lincoln,2021/05/03 17:03:00+00,8627,8433,77,117,ded43949-a518-4bbe-b702-c2e9c1d02e44,31087,22460,6,0,39,15.3846153846154,27.7511499983916,33,2,6.286,48293,26026,453,61,3760,22266,784,784,23050,,,,
418,Lincoln,2021/05/04 16:51:00+00,8636,8465,77,94,0df64741-f970-44c1-8b79-14f102602bb4,31165,22529,9,0,78,11.5384615384615,27.7105727579015,69,5,5.3,48697,26102,404,74,3508,22594,803,803,23397,,,,
419,Lincoln,2021/05/05 16:54:00+00,8641,8475,77,89,8740f9c6-020e-48e5-b594-96df0da96ca2,31214,22573,5,0,49,10.2040816326531,27.6830909207407,44,6.667,4.857,48958,26169,258,65,3381,22788,806,806,23594,,,,
420,Lincoln,2021/05/06 17:14:00+00,8649,8484,77,88,e5fd93e2-25a5-46ca-98f8-b592b9eded03,31261,22612,8,0,47,17.0212765957447,27.6670611944596,39,7.333,4.429,49209,26204,251,32,3200,23004,812,812,23816,,,,
421,Lincoln,2021/05/07 17:11:00+00,8652,8494,77,81,9c42d250-7f55-4673-9eed-9310ed57bd78,31301,22649,3,0,40,7.5,27.6412894156736,37,5.3,4.4,49519,26288,310,81,3058,23230,819,819,24049,,,,
422,Lincoln,2021/05/09 23:00:00+00,8652,8494,77,81,209ea12e-5dd8-42ae-a055-3f6064c132b2,31301,22649,0,0,0,7.5,27.6412894156736,0,5.3,4.4,49519,26288,,,3058,23230,819,819,24049,,,,
423,Lincoln,2021/05/08 23:00:00+00,8652,8494,77,81,c5529d5f-fa5d-4552-bcea-d3fa78e2edcc,31301,22649,0,0,0,7.5,27.6412894156736,0,5.3,4.4,49519,26288,0,0,3058,23230,819,819,24049,,,,
424,Lincoln,2021/05/10 16:33:00+00,8658,8500,77,81,79532f65-fecc-443f-8dbe-3f449eee694b,31333,22675,6,0,32,18.75,27.6322088532857,26,2,4.4,49730,26331,211,40,2934,23397,825,825,24222,,,,
425,Lincoln,2021/05/11 16:46:00+00,8671,8520,77,74,ec09c550-b51e-481e-a2c2-56631d15c5e2,31400,22729,13,0,67,19.4029850746269,27.6146496815287,54,6.333,5,50028,26387,298,54,2749,23638,835,835,24473,,,,
426,Lincoln,2021/05/12 17:02:00+00,8676,8529,77,70,2c58ce3f-5356-4b13-ad0e-b81213b904a0,31440,22764,5,0,40,12.5,27.5954198473282,35,8,5,50156,26443,127,55,2730,23713,838,838,24551,,,,
427,Lincoln,2021/05/13 16:50:00+00,8684,8538,77,69,8ce18c23-f1a2-46fa-acd8-c0ea7885d0bb,31476,22792,8,0,36,22.2222222222222,27.5892743677723,28,8.667,5,50271,26458,115,14,2645,23813,844,844,24657,,,,
428,Lincoln,2021/05/14 17:12:00+00,8687,8547,77,63,8e9561e6-984f-4cda-944e-2eee09eabcb8,31512,22825,3,0,36,8.33333333333333,27.5672759583651,33,5.333,5,50460,26530,189,71,2600,23930,851,851,24781,,,,
429,Lincoln,2021/05/15 23:00:00+00,8687,8547,77,63,4cb3e29e-484b-4d35-a8eb-70bba6b16586,31512,22825,0,0,0,8.33333333333333,27.5672759583651,0,5.333,5,50460,26530,0,0,2600,23930,851,851,24781,,,,
430,Lincoln,2021/05/16 23:00:00+00,8687,8547,77,63,fb8b1ee8-491c-4e5e-aa43-8d452b6bf74d,31512,22825,0,0,0,8.33333333333333,27.5672759583651,0,5.333,5,50460,26530,0,0,2600,23930,851,851,24781,,,,
431,Lincoln,2021/05/17 17:03:00+00,8690,8560,77,53,484b151c-7e77-4cd6-af65-c860f01af227,31539,22849,3,0,27,11.1111111111111,27.5531881163005,24,1,4.571,50648,26653,188,121,2658,23995,861,861,24856,,,,
432,Lincoln,2021/05/18 17:11:00+00,8694,8570,77,47,6b91ba67-3846-453f-96de-03829d51fc1e,31606,22912,4,0,67,5.97014925373134,27.5074352970955,63,2.3,3.3,50989,26875,341,220,2761,24114,882,882,24996,,,,
433,Lincoln,2021/05/19 17:16:00+00,8695,8578,77,40,e704f602-5404-4ac8-9ce9-c9c2e661fce1,31646,22951,1,0,40,2.5,27.4758263287619,39,2.667,2.714,51247,27069,258,192,2891,24178,898,898,25076,,,,
434,Lincoln,2021/05/20 17:29:00+00,8695,8583,77,35,b187d9b7-75bb-4983-9053-be804568fb02,31668,22973,0,0,22,0,27.4567386636352,22,1.667,1.571,51327,27092,80,22,2857,24235,898,898,25133,,,,
435,Lincoln,2021/05/21 17:05:00+00,8696,8592,77,27,ea8e820e-90e4-419d-8ed1-684509221622,31694,22998,1,0,26,3.84615384615385,27.4373698491828,25,0.667,1.286,51528,27254,200,161,2980,24274,909,909,25183,,,,
436,Lincoln,2021/05/22 23:00:00+00,8696,8592,77,27,40bb6d89-337f-4129-a5d2-aae2e3be740a,31694,22998,0,0,0,3.84615384615385,27.4373698491828,0,0.667,1.286,51528,27254,0,0,2980,24274,909,909,25183,,,,
437,Lincoln,2021/05/23 23:00:00+00,8696,8592,77,27,03e27971-0d8b-49a9-ace2-4633f2733d94,31694,22998,0,0,0,3.84615384615385,27.4373698491828,0,0.667,1.286,51528,27254,0,0,2980,24274,909,909,25183,,,,
438,Lincoln,2021/05/24 17:18:00+00,8698,8595,77,26,a574e95b-4c12-46c1-a7c0-f0c178c1f5b6,31717,23019,2,0,23,8.69565217391304,27.4237790459375,21,0.667,1.143,51661,27314,132,59,2967,24347,920,920,25267,,,,
439,Lincoln,2021/05/25 17:04:00+00,8702,8602,77,23,23516957-f862-4f29-b276-e4e24bd7bbbb,31796,23094,4,0,79,5.06329113924051,27.3682224179142,75,2,1.1,51971,27567,310,252,3163,24404,933,933,25337,,,,
440,Lincoln,2021/05/26 17:15:00+00,8704,8608,77,19,f259393d-456d-429f-9439-0f611aa8671e,31818,23114,2,0,22,9.09090909090909,27.3555848890565,20,2.667,1.286,52116,27682,144,114,3248,24434,942,942,25376,,,,
441,Lincoln,2021/05/27 16:03:00+00,8705,8609,77,19,9cb17bd0-308a-430b-a150-2af428dfdc5c,31846,23141,1,0,28,3.57142857142857,27.3346731143629,27,2.3,1.4,52220,27741,104,58,3262,24479,947,947,25426,,,,
442,Lincoln,2021/05/28 16:40:00+00,8709,8613,77,19,17735aee-3d82-4073-96fb-5b68349c136b,31873,23164,4,0,27,14.8148148148148,27.3240673924638,23,2.333,1.857,52353,27777,119,27,3204,24573,951,951,25524,,,,
