labeling_budget,used_labels,precision,recall,fscore,time
10,"[10, 10, 10, 10, 10]",0.20511712809511154,0.17532312371022046,0.17947670456369183,172.77146792411804
16,"[16, 16, 16, 16, 16]",0.5268246966473827,0.2297056587379168,0.23909768583858831,166.18511986732483
34,"[34, 34, 34, 34, 34]",0.7048059001880463,0.5746062778320843,0.6329411513985015,158.90433611869813
50,"[50, 50, 50, 50, 50]",0.7662863118888374,0.7579884870207451,0.7606959203125063,164.57552061080932
66,"[66, 66, 66, 66, 66]",0.7200159574288757,0.7609210383403933,0.7390344636190449,157.56323204040527
132,"[132, 132, 132, 132, 132]",0.8196357939065425,0.8248397958075377,0.8222273144206657,168.20929598808289
198,"[198, 198, 198, 198, 198]",0.8616382589606868,0.8133268165526231,0.8363628740240632,173.05226416587828
330,"[330, 330, 330, 330, 330]",0.889344879596081,0.8459650266101878,0.8667652351271438,169.7162579536438
660,"[660, 660, 660, 660, 660]",0.9301655899784717,0.8599869664385793,0.8934207536673545,173.87376947402953
990,"[990, 990, 990, 990, 990]",0.9245298537665642,0.8814163136743781,0.90243442640495,185.23304405212403
1320,"[1317, 1317, 1318, 1317, 1317]",0.9307302320144762,0.8806342999891387,0.9049318587752792,189.04066362380982
