labeling_budget,used_labels,precision,recall,fscore,time,tp,fp,fn,tn
7,"[10, 10, 10, 10, 10]",0.20511712809511154,0.17532312371022046,0.17947670456369183,172.77146792411804,0,0,18414,181358
16,"[16, 16, 16, 16, 16]",0.5268246966473827,0.2297056587379168,0.23909768583858831,166.18511986732483,7129,23884,11285,157474
33,"[34, 34, 34, 34, 34]",0.7048059001880463,0.5746062778320843,0.6329411513985015,158.90433611869813,9997,4808,8417,176550
50,"[50, 50, 50, 50, 50]",0.7662863118888374,0.7579884870207451,0.7606959203125063,164.57552061080932,14244,5002,4170,176356
66,"[66, 66, 66, 66, 66]",0.7200159574288757,0.7609210383403933,0.7390344636190449,157.56323204040527,15175,4777,3239,176581
132,"[132, 132, 132, 132, 132]",0.8196357939065425,0.8248397958075377,0.8222273144206657,168.20929598808289,15209,3325,3205,178033
198,"[198, 198, 198, 198, 198]",0.8616382589606868,0.8133268165526231,0.8363628740240632,173.05226416587828,15665,2699,2749,178659
330,"[330, 330, 330, 330, 330]",0.889344879596081,0.8459650266101878,0.8667652351271438,169.7162579536438,15433,1925,2981,179433
660,"[660, 660, 660, 660, 660]",0.9301655899784717,0.8599869664385793,0.8934207536673545,173.87376947402953,15591,1259,2823,180099
990,"[990, 990, 990, 990, 990]",0.9245298537665642,0.8814163136743781,0.90243442640495,185.23304405212403,16235,1375,2179,179983
1320,"[1317, 1317, 1318, 1317, 1317]",0.9307302320144762,0.8806342999891387,0.9049318587752792,189.04066362380982,16070,1040,2344,180318
