OBJECTID,COMPKEY,UNITID,UNITDESC,MODDTTM,CONDITION,CONDITION_ASSESSMENT_DATE,CURRENT_STATUS,PRIMARYDISTRICTCD,SECONDARYDISTRICTCD,OVERRIDEYN,COMPTYPE,DESCRIPTION,SEGKEY,INTKEY,INT_UNITID,SIGNAL_TYPE,SIGNAL_MAINT_DIST,INSTALL_DATE,ADDBY,ADDDTTM,OWNERSHIP,CURRENT_STATUS_DATE,ARTERIAL_CLASS,MAINT_AGREE,MAINT_BY,INT_SIGNAL_TYPE_CD,OVERRIDECOMMENT,PEDAUDIODEVICEYN,PEDSIGNALYN,PH_MODELTYPE,PP_MODELTYPE,PP_QUANTITY,PEDHDFIRSTINSTALLDT,PH_QUANTITY,PEDAUDIOINSTALLDT,BIKESIGNALHDYN,ASBLT,HALFSIGNALYN,METEREDYN,LTTURNSIGNALYN,LTPROTECTEDPERMYN,LTPROTECTEDYN,RTTURNSIGNALYN,RTPROTECTEDPERMYN,RTPROTECTEDYN,LTFIRSTINSTALLDT,LTREMOVEDT,RTFIRSTINSTALLDT,RTREMOVEDT,DETDEVSTOPBARYN,DETDEVADVANCEDYN,DETDEVSYSTEMYN,CABMODELTYPECD,COMCONNTYPECD,SYSCONTROLTYPECD,MMUMODELTYPECD,PE_MODELTYPE,PI_MODELTYPE,INSTALLERCD,SIGASSSERVICEPT,JOINTOWNERSHIPYN,VH_QUANTITY,VH_MODELTYPE,LOUVEREDVISORYN,OPTPGMEDHDSYN,CABLASTPMDT,DETMODULETYPECD,CCIMODELTYPECD,ETHERNETSFTWRREVLVL,CCISFTWRREVLVL,MMUSERIALNBR,CO_SOFTWRREV,CO_INSTALLDT,CO_REMOVALDT,CO_SERIALNBR,CO_MODELTYPE,MMUMANCD,MMUINSTALLDT,VOLTS,AMPS,GROUNDRESISTANCE,MULTIINTERSECTIONSYN,ADDTLINTDESC,LASTSIGNALOPTDT,LAMPINGGROUPCD,ATTACHMENT_1,ATTACHMENT_2,ATTACHMENT_3,ATTACHMENT_4,ATTACHMENT_5,ATTACHMENT_6,ATTACHMENT_7,ATTACHMENT_8,ATTACHMENT_9,PEDPSHINSTALLDT,NUM_ATTACHMENTS
80221,272764,SGL-614,ELLIS AVE S AND S MYRTLE ST                                                                                                                                                                                                                                    ,2023/09/22 00:00:00+00,POOR,2008/05/23 00:00:00+00,INSVC,DISTRICT2, ,N,74,,1,34194,71302,SEMI,SOUTH,,GISADMIN,2005/03/17 17:11:08+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,NEON,Reese,4,,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,3TS1,COPPER,TACTIS,NSM-12,EMER,, ,NWC SCL Wood Pole #1379358 next to cabinet,N,8,3S8RYG,N,N,2022/10/03 00:00:00+00,RACK, ,,,93539,"3.32SEH, SP2","22-MAR-04, 22-MAY-03",22-MAR-04,"67782, 65004","M34, LC8000",EDI,2022/10/03 00:00:00+00,119,2,0,N,,,A4,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\AM Condition Assessments\TSCR Ellis_Myrtle614.pdf,,,,,,,,,,1
80222,272765,SGL-138,3RD AVE AND LENORA ST                                                                                                                                                                                                                                          ,2023/09/25 00:00:00+00,POOR,2008/09/02 00:00:00+00,INSVC,DISTRICT7, ,N,74,,1,29558,39155,PRE,DOWNTOWN,,GISADMIN,2005/03/17 17:11:08+00,SDOT,2008/12/15 00:00:00+00,2,, ,CITY,,N,N,"NEON, LED",,,,"6, 2",,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2,FIBER,TACTIS,NSM-6,EMER,, ,W of NWC at Alley City Lgt Vault in Street,Y,6,3S8RYG,N,N,2022/03/12 00:00:00+00, , ,,,60901,"3.32SEG, 2.33, 3.57b Linux, 3.57b Linux","23-OCT-01, 26-FEB-88, 18-SEP-18, 12-SEP-21","18-SEP-18, 23-OCT-01, 09-AUG-21","67922, 1421, 161906, 159032","M34,  , M60, M60",EAGLE,2022/03/12 00:00:00+00,122,2,66,N,,,P3,,,,,,,,,,,0
80223,272766,SGL-93,4TH AVE AND PINE ST                                                                                                                                                                                                                                            ,2022/03/18 00:00:00+00,FAIR,2008/09/08 00:00:00+00,INSVC,DISTRICT7, ,N,74,,1,29579,39304,PRE,DOWNTOWN,,GISADMIN,2005/03/17 17:11:09+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD,,,,8,,Y,,N,N,N,N,N,N,N,N,,,,,N,N,N,2TS2-Typ1,COPPER,TACTIS,MMU2-16LEi,,, ,4th/Pike In Basement Under Cabinet On SWC,Y,4,3S12RYG,N,N,2022/03/12 00:00:00+00,RACK, ,,,E0080645,"3.32SEG, 3.57b, 3.57b Linux, 3.57b","05-NOV-03, 10-JAN-18, 19-SEP-20, 07-AUG-21","10-JAN-18, 19-SEP-20","67568, 153295, 159034, 171699","M34, M60-ATC, M60, M60",EDI,2022/03/12 00:00:00+00,126,2,30,N,,,S7,,,,,,,,,,,0
80224,272767,SGL-364,15TH AVE NE AND NE 47TH ST                                                                                                                                                                                                                                     ,2023/09/22 00:00:00+00,POOR,2008/04/23 00:00:00+00,INSVC,DISTRICT4, ,N,74,,1,26066,15739,PRE,NORTH,,GISADMIN,2005/03/17 17:11:09+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,NEON,,,,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2,COPPER,TIME-BASE,MMU2-16LEi,,, ,100' East of NEC in SCL Type 6 H/H,Y,8,3S8RYG,N,N,2023/03/15 00:00:00+00,STANDAL, ,,,E1718642,"CLMATS7.4.20, Linux 2.6.20.14, 3.57b","06-APR-98, 12-JAN-15, 19-NOV-22","12-JAN-15, 19-NOV-22","2407001, 3351200009, M174405","LMD9200, ATC-1000, M60",EDI,2023/03/15 00:00:00+00,119,3,650,N,,,A2,,,,,,,,,,,0
80225,272768,SGL-370,11TH AVE NE AND NE RAVENNA WB BV                                                                                                                                                                                                                               ,2023/03/13 00:00:00+00,FAIR,2008/04/24 00:00:00+00,INSVC,DISTRICT4, ,N,74,,1,25757,14257,PRE,NORTH,,GISADMIN,2005/03/17 17:11:09+00,SDOT,2012/11/16 00:00:00+00,1,, ,CITY,,N,N,LEDCD,,,2012/11/21 00:00:00+00,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2, ,TIME-BASE,MMU-16LEip,,, ,Wood Pole #1334822 next to Cabinet,N,6,3S8RYG,N,N,2022/06/21 00:00:00+00,RACK, ,,,E2112316,3.32SEH,09-JUN-08,,49366,M34,EDI,2023/02/27 00:00:00+00,123,3,65,N,,,A1,,,,,,,,,,,0
80226,272768,SGL-370,11TH AVE NE AND NE RAVENNA WB BV                                                                                                                                                                                                                               ,2023/03/13 00:00:00+00,FAIR,2008/04/24 00:00:00+00,INSVC,DISTRICT4, ,N,74,,1,25757,14257,PRE,NORTH,,GISADMIN,2005/03/17 17:11:09+00,SDOT,2012/11/16 00:00:00+00,1,, ,CITY,,N,N,LEDCD,,,2012/11/21 00:00:00+00,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2, ,TIME-BASE,MMU-16LEip,,, ,Wood Pole #1334822 next to Cabinet,N,6,3S8RYG,N,N,2022/06/21 00:00:00+00,RACK, ,,,E2112316,3.32SEH,09-JUN-08,,49366,M34,EDI,2023/02/27 00:00:00+00,123,3,65,N,,,A1,,,,,,,,,,,0
80227,272769,SGL-641,DELRIDGE WAY SW AND SW ANDOVER ST                                                                                                                                                                                                                              ,2023/09/19 00:00:00+00,POOR,2008/08/12 00:00:00+00,INSVC,DISTRICT1, ,N,74,,1,32046,55306,SEMI,SOUTH,,GISADMIN,2005/03/17 17:11:09+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LED,Reese,4,,8,,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,6TS2,FIBER,TACTIS,MMU-16LEip,EMER,EMER, ,NWC SCL Wood Pole #1389754,Y,"6, 2, 1","3S12RYG, 4SRYGGARW, OPT3M",N,N,2022/10/25 00:00:00+00,RACK, ,,,E1849259,"CLMATS7.4.20, 8c, 03.11.2247, 03.11.2247, 3.57b Linux","01-JUL-08, 25-MAR-98, 05-JUN-13, 11-JAN-19, 20-JUL-22","05-JUN-13, 01-JUL-08, 11-JAN-19, 20-JUL-22","04029409, 4958, 3491200006, 3351200034, 170388","LMD8000, LMD8000, ATC-1000, ATC-1000, M60",EDI,2022/10/25 00:00:00+00,120,3,0,N,,,A6,\\dotnas\InfoPublicSector\H8\PROD\ATTACHMENTS\WM-REF\fmf13.pdf,,,,,,,,,,1
80228,272770,SGL-541,RAINIER AVE S AND SEWARD PARK AVE S                                                                                                                                                                                                                            ,2023/09/22 00:00:00+00,POOR,2008/08/11 00:00:00+00,INSVC,DISTRICT2, ,N,74,,1,35451,81716,SEMI,SOUTH,,GISADMIN,2005/03/17 17:11:10+00,SDOT,2009/09/03 00:00:00+00,1,, ,CITY,,N,N,"NEON, LED",Reese,2,,"4, 2",,N,,N,N,N,N,N,N,N,N,,,,,N,N,N,2TS2-Typ1,FIBER,TACTIS,MMU-16LEip,,, ,SEC City Lgt Wood Pole,N,"2, 7, 1","3S8RYG, 3S12RYG, 3SRYY",N,N,2022/08/15 00:00:00+00,RACK, ,50,,140204303,"3.32SEG, 8L, 3.33SEd, 3.57b OS-9","03-SEP-09, 06-SEP-96, 07-JAN-17, 13-JAN-18","07-JAN-17, 03-SEP-09, 13-JAN-18","104155, 25039524, 106781, 102015","M52, LMD8000, M52, M52",EDI,2022/08/15 00:00:00+00,119,4,2,N,,,A1,,,,,,,,,,,0
80229,272771,SGL-518,RAINIER AVE S AND S DEARBORN ST                                                                                                                                                                                                                                ,2023/06/05 00:00:00+00,POOR,2008/08/05 00:00:00+00,INSVC,DISTRICT3, ,N,74,,1,30781,45711,FULL,SOUTH,,GISADMIN,2005/03/17 17:11:10+00,SDOT,2008/12/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD,NAV-EN2,8,2014/03/20 00:00:00+00,8,,Y,,N,N,Y,N,Y,N,N,N,,,,,N,N,N,3TS2-TYPE2,FIBER,TACTIS,MMU2-16LEi,,, ,NWC In Service Box (Next To Cabinet),N,"6, 7, 2, 1","3S12RYG, 3S12RYGARW, 4SRYGGARW, 3S12Bus",N,N,2023/05/31 00:00:00+00,RACK, ,30,,E1976960,"3.32SEG, 3.33SEd, 3.57b OS-9, 3.57b, 3.57b Linux, 3.57b LINUX","05-AUG-02, 21-MAR-13, 29-OCT-16, 27-FEB-20, 10-AUG-21, 19-MAR-23","21-MAR-13, 29-OCT-16, 27-FEB-20, 10-AUG-21, 19-MAR-23","44821, 135362, 104158, 104143, 171644, 167258","M34, M52, M52, M60, M60, M60",EDI,2023/05/31 00:00:00+00,121,3,0,N,,,A1,,,,,,,,,,,0
80230,272772,SGL-714,VETRN HOSPITAL DR AND S COLUMBIAN WAY                                                                                                                                                                                                                          ,2023/03/07 00:00:00+00,FAIR,2008/09/03 00:00:00+00,INSVC,DISTRICT2, ,N,74,,1,32553,58852,SEMI,SOUTH,,GISADMIN,2005/03/17 17:11:10+00,SDOT,2011/07/15 00:00:00+00,1,, ,CITY,,N,N,LEDCD, ,4,2011/07/14 00:00:00+00,6,,N,,N,N,Y,Y,N,N,N,N,,,,,N,N,N,2, ,TIME-BASE,NSM-6,,, ,NEC VAULT,N,"6, 1","3S8RYG, 4SRYYGARW",N,N,2022/09/22 00:00:00+00,STANDAL, ,,,020502784,"CLMATS 7.4.20, CLMATS 7.4.20","22-JUL-03, 01-JUN-12",01-JUN-12,"21049319H, 807930317","LMD8000, LMD8000",EAGLE,2022/09/22 00:00:00+00,121,2,3,N,,,A3,,,,,,,,,,,0
