zip,eiaid,utilityname,statevalue,servicetype,ownership,commrate,indrate,resrate
42103.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42164.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42252.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42202.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42104.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42273.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42762.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42207.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42261.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42347.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42128.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42288.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
42219.0,20130.0,Warren Rural Elec Coop Corp,KY,Bundled,Cooperative,0.115976105744789,0.0588878497046694,0.1053139621244602
27889.0,20142.0,City of Washington - (NC),NC,Bundled,Municipal,0.126072258824246,0.1050657926447197,0.1269789935912651
30678.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31021.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31061.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31045.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30401.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31035.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30810.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31094.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30828.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31090.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31002.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31054.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30821.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30803.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31082.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30434.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31096.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30457.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31087.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31018.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31027.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30820.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31089.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
31049.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30454.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
30413.0,20146.0,Washington Elec Member Corp,GA,Bundled,Cooperative,0.1054186513403928,0.0720552018958226,0.1219707014021549
5680.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5038.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5051.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5654.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5821.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5862.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5836.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5602.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5650.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5679.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5843.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5842.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5677.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5069.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5061.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5060.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5839.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5866.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5076.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5079.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5661.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5086.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5041.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5828.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5648.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5663.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5040.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5033.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5640.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5042.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5660.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5667.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5675.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5651.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5676.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5666.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5658.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5462.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5851.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5083.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5039.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5077.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5046.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5036.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5072.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5682.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5647.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5673.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5873.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5068.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
5641.0,20151.0,Washington Electric Coop - (VT),VT,Bundled,Cooperative,0.2329763588603758,0.1625159642401021,0.2334367893798783
38965.0,20176.0,City of Water Valley - (MS),MS,Bundled,Municipal,0.1104380586540592,0.053023424732159,0.1054062216852914
53559.0,20182.0,Waterloo Light & Water Comm,WI,Bundled,Municipal,0.1044216895508494,0.0,0.1118616652545636
