SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
60,WARNER RD,I-10,JEWEL ST,1075,6,76.7,79.6,2022/03/26 07:00:00+00,Arterial,2022,1
70,WARNER RD,JEWEL ST,EMERALD DR,520,6,75.9,78.9,2022/03/26 07:00:00+00,Arterial,2022,2
80,WARNER RD,EMERALD DR,PRIEST DR,1107,5,76.5,79.5,2022/03/26 07:00:00+00,Arterial,2022,3
90,WARNER RD,PRIEST DR,BECK AV,1410,5,76.8,79.9,2022/03/26 07:00:00+00,Arterial,2022,4
100,WARNER RD,BECK AV,HARDY DR,1352,5,78.6,81.4,2022/03/26 07:00:00+00,Arterial,2022,5
110,WARNER RD,HARDY DR,MCKEMY ST,1536,5,78.1,80.9,2022/03/26 07:00:00+00,Arterial,2022,6
120,WARNER RD,MCKEMY ST,KYRENE RD,1189,5,80.9,83.5,2022/03/26 07:00:00+00,Arterial,2022,7
130,WARNER RD,KYRENE RD,DROMEDARY DR,736,5,85.8,87.5,2022/03/26 07:00:00+00,Arterial,2022,8
140,WARNER RD,DROMEDARY DR,DATELAND DR,607,5,81.2,83.4,2022/03/26 07:00:00+00,Arterial,2022,9
150,WARNER RD,DATELAND DR,MAPLE AV,536,5,81.9,84,2022/03/26 07:00:00+00,Arterial,2022,10
160,WARNER RD,MAPLE AV,MAPLE AV,207,5,83.9,85.9,2022/03/26 07:00:00+00,Arterial,2022,11
170,WARNER RD,MAPLE AV,MILL AV,272,5,88.5,89.9,2022/03/26 07:00:00+00,Arterial,2022,12
180,WARNER RD,MILL AV,WARNER RANCH RD,339,5,84.4,86.3,2022/03/26 07:00:00+00,Arterial,2022,13
190,WARNER RD,WARNER RANCH RD,MYRTLE AV,369,5,81.1,83.3,2022/03/26 07:00:00+00,Arterial,2022,14
200,WARNER RD,MYRTLE AV,FOREST AV,472,5,82.6,84.7,2022/03/26 07:00:00+00,Arterial,2022,15
210,WARNER RD,FOREST AV,COLLEGE AVE,330,5,82.6,84.7,2022/03/26 07:00:00+00,Arterial,2022,16
220,WARNER RD,COLLEGE AVE,70TH ST,189,5,81.8,83.9,2022/03/26 07:00:00+00,Arterial,2022,17
230,WARNER RD,70TH ST, 71ST ST,669,5,81.1,83.3,2022/03/26 07:00:00+00,Arterial,2022,18
240,WARNER RD, 71ST ST,RURAL RD,675,5,72.2,75.2,2022/03/26 07:00:00+00,Arterial,2022,19
250,WARNER RD,RURAL RD,BONARDEN LN,692,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,20
260,WARNER RD,BONARDEN LN,TERRACE RD,652,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,21
270,WARNER RD,TERRACE RD,STANLEY PL,1007,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,22
280,WARNER RD,STANLEY PL,LAKESHORE DR,510,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,23
290,WARNER RD,LAKESHORE DR,JUNIPER ST,1189,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,24
300,WARNER RD,JUNIPER ST,MCCLINTOCK DR,1346,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,25
310,WARNER RD,MCCLINTOCK DR,TAYLOR DR,1039,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,26
320,WARNER RD,TAYLOR DR,LOS FELIZ DR,507,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,27
330,WARNER RD,LOS FELIZ DR,KENWOOD LN,679,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,28
340,WARNER RD,KENWOOD LN,KENWOOD LN,375,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,29
350,WARNER RD,KENWOOD LN,FAIRFIELD DR,552,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,30
360,WARNER RD,FAIRFIELD DR,RIVER PARKWAY,1089,5,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,31
370,WARNER RD,RIVER PARKWAY,S PRICE RD,1279,6,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,32
380,ELLIOT RD,I-10,HARL AV,1875,3,72.5,75.2,2022/03/26 07:00:00+00,Arterial,2022,33
53165,UNIVERSITY AVE ALLEY,END,ALBERT AV,733,3,72.6,75.3,2022/03/26 07:00:00+00,Arterial,2022,34
390,ELLIOT RD,HARL AV,PRIEST DR,869,3,73.2,75.7,2022/03/26 07:00:00+00,Arterial,2022,35
54071,CENTER PKWY,WASHINGTON ST,202 FREEWAY,1204,3,66.4,69.7,2022/03/26 07:00:00+00,Arterial,2022,36
400,ELLIOT RD,PRIEST DR,HARDY DR,2726,3,70.6,73.5,2022/03/26 07:00:00+00,Arterial,2022,37
48410,19TH ST,MCKEMY ST,ROOSEVELT,659,3,74.9,77.5,2022/03/26 07:00:00+00,Arterial,2022,38
410,ELLIOT RD,HARDY DR,ROOSEVELT ST,1307,3,77.7,80,2022/03/26 07:00:00+00,Arterial,2022,39
49915,BROADWAY RD ALLEY,ENCANTO DR,COLLEGE AV,992,3,78.3,80.6,2022/03/26 07:00:00+00,Arterial,2022,40
420,ELLIOT RD,ROOSEVELT ST,KYRENE RD,1426,3,74.8,77.4,2022/03/26 07:00:00+00,Arterial,2022,41
50085,MCALLISTER LN,15TH ST,14TH ST,495,3,74.2,76.8,2022/03/26 07:00:00+00,Arterial,2022,42
430,ELLIOT RD,KYRENE RD,MILL AV,2695,3,39.9,43.7,2022/03/26 07:00:00+00,Arterial,2022,43
51105,GARY DR,E WILLIAMS ST,E CEDAR ST,300,3,50.8,54.6,2022/03/26 07:00:00+00,Arterial,2022,44
440,ELLIOT RD,MILL AV,FOREST AV,259,3,30.8,34.3,2022/03/26 07:00:00+00,Arterial,2022,45
57025,BROADWAY RD ALLEY,VENTURA DR,EAST END,995,3,30,33.5,2022/03/26 07:00:00+00,Arterial,2022,46
450,ELLIOT RD,FOREST AV,COLLEGE AV,775,3,52.7,56.6,2022/03/26 07:00:00+00,Arterial,2022,47
57145,BROADWAY RD ALLEY,EL CAMINO DR,SIERRA VISTA DR,836,3,27.7,31.1,2022/03/26 07:00:00+00,Arterial,2022,48
460,ELLIOT RD,COLLEGE AV,LA ROSA DR,1016,3,43,46.9,2022/03/26 07:00:00+00,Arterial,2022,49
50131,MCALLISTER AV,UNIVERSITY DR,APACHE BL,2809,3,30.8,34.3,2022/03/26 07:00:00+00,Arterial,2022,50
2770,UNIVERSITY DR,GEORGE DR,EVERGREEN RD,1362,5,67.2,70.6,2022/03/27 07:00:00+00,Arterial,2022,51
2780,UNIVERSITY DR,EVERGREEN RD,OAKWOOD DR,649,5,66.9,70.3,2022/03/27 07:00:00+00,Arterial,2022,52
2790,UNIVERSITY DR,OAKWOOD DR,CITY LIMIT,1133,3,70.4,73.7,2022/03/27 07:00:00+00,Arterial,2022,53
2800,WASHINGTON ST,CITY LIMIT,56TH ST,139,2,73,75.4,2022/03/27 07:00:00+00,Arterial,2022,54
830,GUADALUPE RD,LAKESHORE DR,DORSEY LN,516,5,80.2,82.3,2022/03/26 07:00:00+00,Arterial,2022,55
2810,WASHINGTON ST,56TH ST,DESERT DR,610,2,76,78.4,2022/03/27 07:00:00+00,Arterial,2022,56
521,ELLIOT RD,JUNIPER ST,LAKESHORE DR,1023,2,70.4,73.2,2022/03/27 07:00:00+00,Arterial,2022,57
2820,WASHINGTON ST,DESERT DR,PRIEST DR,1185,2,72.1,74.9,2022/03/27 07:00:00+00,Arterial,2022,58
2830,WASHINGTON ST,PRIEST DR,PARKSIDE DR,2156,4,75.6,78.1,2022/03/27 07:00:00+00,Arterial,2022,59
2840,WASHINGTON ST,PARKSIDE DR,CENTER PKWY,675,4,72.7,75.3,2022/03/27 07:00:00+00,Arterial,2022,60
2850,WASHINGTON ST,CENTER PKWY,MILL AV,1939,4,73.6,76.3,2022/03/27 07:00:00+00,Arterial,2022,61
2860,CURRY RD,MILL AV,COLLEGE AV,4143,2,71.4,74.3,2022/03/27 07:00:00+00,Arterial,2022,62
531,ELLIOT RD,JUNIPER ST,JUNIPER ST,323,2,61.8,66.1,2022/03/27 07:00:00+00,Arterial,2022,63
2870,CURRY RD,COLLEGE AV,SCOTTSDALE RD,1413,5,73.8,76.2,2022/03/27 07:00:00+00,Arterial,2022,64
2880,CURRY RD EB,SCOTTSDALE RD,MARY ST,826,2,50,53.8,2022/03/27 07:00:00+00,Arterial,2022,65
2881,CURRY RD WB,MARY ST,SCOTTSDALE RD,646,2,57.4,60.9,2022/03/27 07:00:00+00,Arterial,2022,66
2890,CURRY RD EB,MARY ST,MILLER RD,1807,2,63.8,67.2,2022/03/27 07:00:00+00,Arterial,2022,67
2891,CURRY RD WB,MILLER RD,SCOVEL ST,652,2,63.7,66.9,2022/03/27 07:00:00+00,Arterial,2022,68
2893,CURRY RD WB,SCOVEL ST,HAROLD ST,659,5,64.1,67.4,2022/03/27 07:00:00+00,Arterial,2022,69
2895,CURRY RD WB,HAROLD ST,MARY ST,662,5,60,63.4,2022/03/27 07:00:00+00,Arterial,2022,70
2900,CURRY RD,MILLER RD,STADEM DR,1310,2,36,39.7,2022/03/27 07:00:00+00,Arterial,2022,71
541,ELLIOT RD,WILLOW DR,JUNIPER ST,216,2,46.6,50.4,2022/03/27 07:00:00+00,Arterial,2022,72
2910,CURRY RD,STADEM DR,MCCLINTOCK DR,1266,5,56.3,59.9,2022/03/27 07:00:00+00,Arterial,2022,73
2920,MCKELLIPS RD,CAMPO ALLEGRE RD,COLLEGE AV,1123,2,72.1,72.1,2023/02/25 07:00:00+00,Collector,2023,74
2930,MCKELLIPS RD,COLLEGE AV,SQUIRE AV,569,5,64.4,67.7,2022/03/27 07:00:00+00,Collector,2022,75
2940,MCKELLIPS RD,SQUIRE AV,LA ROSA DR,110,5,63,66.6,2022/03/27 07:00:00+00,Collector,2022,76
2950,MCKELLIPS RD,LA ROSA DR,NORMAL AV,146,5,65.9,69.2,2022/03/27 07:00:00+00,Collector,2022,77
2960,MCKELLIPS RD,NORMAL AV,VAN NESS AV,269,5,43,47.6,2022/03/27 07:00:00+00,Collector,2022,78
2970,MCKELLIPS RD,VAN NESS AV,MCALLISTER AV,279,5,42.2,46.7,2022/03/27 07:00:00+00,Collector,2022,79
2980,MCKELLIPS RD,MCALLISTER AV,CAVALIER DR,530,5,31.6,35.5,2022/03/27 07:00:00+00,Collector,2022,80
2990,MCKELLIPS RD,CAVALIER DR,SCOTTSDALE RD,843,5,37.7,41.9,2022/03/27 07:00:00+00,Collector,2022,81
3000,MCKELLIPS RD,SCOTTSDALE RD,BRIDALWREATH ST,1330,4,75.7,78.1,2022/03/27 07:00:00+00,Arterial,2022,82
3010,MCKELLIPS RD,BRIDALWREATH ST,SCOVEL ST,707,4,74.8,77.4,2022/03/27 07:00:00+00,Arterial,2022,83
3020,MCKELLIPS RD,SCOVEL ST,OLEANDER ST,310,4,78.3,80.5,2022/03/27 07:00:00+00,Arterial,2022,84
3030,MCKELLIPS RD,OLEANDER ST,MILLER RD,330,4,74.1,76.5,2022/03/27 07:00:00+00,Arterial,2022,85
3040,MCKELLIPS RD,MILLER RD,MCCLINTOCK DR,2679,4,77.9,80.2,2022/03/27 07:00:00+00,Arterial,2022,86
3080,48TH ST,SOUTHERN AV,FAIRMONT DR,1366,6,78.7,81.4,2022/03/28 07:00:00+00,Arterial,2022,87
3090,48TH ST,FAIRMONT DR,ALAMEDA DR,1359,6,77.1,80,2022/03/28 07:00:00+00,Arterial,2022,88
3100,48TH ST,ALAMEDA DR,WESTCOURT WY,1307,6,81.8,84.2,2022/03/28 07:00:00+00,Arterial,2022,89
3110,48TH ST,WESTCOURT WY,BROADWAY RD,1369,6,83.5,85.6,2022/03/28 07:00:00+00,Arterial,2022,90
3290,RIO SALADO PARKWAY,1ST ST,PRIEST DR,3566,2,62.8,66.8,2022/03/27 07:00:00+00,Arterial,2022,91
551,ELLIOT RD,MCCLINTOCK DR,WILLOW DR,1136,2,54.7,59.7,2022/03/27 07:00:00+00,Arterial,2022,92
3300,RIO SALADO PARKWAY,PRIEST DR,1ST ST,543,2,63.4,66.9,2022/03/27 07:00:00+00,Arterial,2022,93
561,ELLIOT RD,S KACHINA DR,MCCLINTOCK DR,703,2,61.9,65.9,2022/03/27 07:00:00+00,Arterial,2022,94
3310,RIO SALADO PARKWAY,1ST ST,HARDY DR,2292,2,79.5,81.4,2022/03/27 07:00:00+00,Arterial,2022,95
571,ELLIOT RD,LOS FELIZ DR,S KACHINA DR,669,2,63.8,67.6,2022/03/27 07:00:00+00,Arterial,2022,96
3320,RIO SALADO PARKWAY,HARDY DR,1ST ST,3600,2,84,85.5,2022/03/27 07:00:00+00,Arterial,2022,97
581,ELLIOT RD,COUNTRY CLUB WAY,LOS FELIZ DR,1356,2,77.8,80,2022/03/27 07:00:00+00,Arterial,2022,98
3330,RIO SALADO PARKWAY,1ST ST,ASH ST,100,2,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,99
591,ELLIOT RD,RIVER PARKWAY,COUNTRY CLUB WAY,1459,2,81.7,81.7,2022/03/27 07:00:00+00,Arterial,2022,100
3340,RIO SALADO PARKWAY,ASH ST,MILL AV,852,2,96.1,96.1,2022/04/29 07:00:00+00,Arterial,2022,101
840,GUADALUPE RD,DORSEY LN,JUNIPER ST,1030,5,82.1,84.1,2022/03/26 07:00:00+00,Arterial,2022,102
850,GUADALUPE RD,JUNIPER ST,MCCLINTOCK DR,1175,5,79.9,82.1,2022/03/26 07:00:00+00,Arterial,2022,103
860,GUADALUPE RD,MCCLINTOCK DR,HAZELTON LN,1436,5,80.8,83,2022/03/26 07:00:00+00,Arterial,2022,104
870,GUADALUPE RD,HAZELTON LN,KENWOOD LN,552,5,84.2,86.1,2022/03/26 07:00:00+00,Arterial,2022,105
880,GUADALUPE RD,KENWOOD LN,COUNTRY CLUB WY,720,5,86.8,88.4,2022/03/26 07:00:00+00,Arterial,2022,106
890,GUADALUPE RD,COUNTRY CLUB WY,CLARK DR,523,5,83.3,85.3,2022/03/26 07:00:00+00,Arterial,2022,107
900,GUADALUPE RD,CLARK DR,RIVER DR,1043,5,84.2,86,2022/03/26 07:00:00+00,Arterial,2022,108
910,GUADALUPE RD,RIVER DR,SHANNON DR,316,5,84.9,86.7,2022/03/26 07:00:00+00,Arterial,2022,109
920,GUADALUPE RD,SHANNON DR,S PRICE RD,610,5,80.2,82.3,2022/03/26 07:00:00+00,Arterial,2022,110
941,BASELINE RD, 48TH ST,600' WEST OF 48TH ST,623,7,59.9,65.3,2022/03/28 07:00:00+00,Arterial,2022,111
950,BASELINE RD, 48TH ST,CALLE LOS CERROS,1352,7,79,81.7,2022/03/28 07:00:00+00,Arterial,2022,112
960,BASELINE RD,CALLE LOS CERROS,WENDLER DR,1366,7,81.1,83.5,2022/03/28 07:00:00+00,Arterial,2022,113
970,BASELINE RD,WENDLER DR,I-10,552,3,46.7,51.6,2022/03/28 07:00:00+00,Arterial,2022,114
49750,ASH AV,HUDSON LN,13TH ST,386,3,75.5,78.7,2022/03/28 07:00:00+00,Arterial,2022,115
980,BASELINE RD,I-10,ARIZONA MILLS S,785,3,64,67.6,2022/03/28 07:00:00+00,Arterial,2022,116
50511,TERRACE RD,LEMON ST,APACHE BL,945,3,75.5,78.1,2022/03/28 07:00:00+00,Arterial,2022,117
990,BASELINE RD,ARIZONA MILLS S,PRIEST DR,726,3,67.9,71,2022/03/28 07:00:00+00,Arterial,2022,118
50521,TERRACE RD,ORANGE ST,LEMON ST,356,3,77.5,80,2022/03/28 07:00:00+00,Arterial,2022,119
1000,BASELINE RD,PRIEST DR,DARROW DR,703,7,70.7,74.3,2022/03/28 07:00:00+00,Arterial,2022,120
1010,BASELINE RD,DARROW DR,BECK AV,436,7,77.7,80.5,2022/03/28 07:00:00+00,Arterial,2022,121
1020,BASELINE RD,BECK AV,TERRY LN,1359,7,69.1,73.9,2022/03/28 07:00:00+00,Arterial,2022,122
1030,BASELINE RD,TERRY LN,HARDY DR,910,7,70.9,75.3,2022/03/28 07:00:00+00,Arterial,2022,123
1040,BASELINE RD,HARDY DR,KYRENE RD,2049,7,74.3,77.9,2022/03/28 07:00:00+00,Arterial,2022,124
1050,BASELINE RD,KYRENE RD,KYRENE RD,659,7,75.7,78.6,2022/03/28 07:00:00+00,Arterial,2022,125
1060,BASELINE RD,KYRENE RD,ASH AV,739,7,70.1,74.7,2022/03/28 07:00:00+00,Arterial,2022,126
1070,BASELINE RD,ASH AV,MILL AV,669,7,74.2,77.6,2022/03/28 07:00:00+00,Arterial,2022,127
1080,BASELINE RD,MILL AV,COLLEGE AV,1303,7,72.6,76,2022/03/28 07:00:00+00,Arterial,2022,128
1090,BASELINE RD,COLLEGE AV,LA ROSA DR,1272,7,74.3,77.5,2022/03/28 07:00:00+00,Arterial,2022,129
1100,BASELINE RD,LA ROSA DR,RURAL RD,789,7,71.1,74.6,2022/03/28 07:00:00+00,Arterial,2022,130
1110,BASELINE RD,RURAL RD,LAKESHORE DR,2566,7,46.6,53.5,2022/03/28 07:00:00+00,Arterial,2022,131
1120,BASELINE RD,LAKESHORE DR,DORSEY LN,949,7,50.3,57.5,2022/03/28 07:00:00+00,Arterial,2022,132
1130,BASELINE RD,DORSEY LN,MARINE DR,1156,7,39.3,45.4,2022/03/28 07:00:00+00,Arterial,2022,133
1140,BASELINE RD,MARINE DR,BUTTE AV,730,7,33.2,38.7,2022/03/28 07:00:00+00,Arterial,2022,134
1150,BASELINE RD,BUTTE AV,MCCLINTOCK DR,700,7,33,38.4,2022/03/28 07:00:00+00,Arterial,2022,135
1160,BASELINE RD,MCCLINTOCK DR,HAZELTON LN,1456,7,29.1,34.3,2022/03/28 07:00:00+00,Arterial,2022,136
1170,BASELINE RD,HAZELTON LN,KENWOOD LN,575,7,21.8,25.9,2022/03/28 07:00:00+00,Arterial,2022,137
1180,BASELINE RD,KENWOOD LN,COUNTRY CLUB WY,669,7,25,29.6,2022/03/28 07:00:00+00,Arterial,2022,138
1190,BASELINE RD,COUNTRY CLUB WY,RIVER DR,1079,7,30.7,35.9,2022/03/28 07:00:00+00,Arterial,2022,139
1200,BASELINE RD,RIVER DR,BALA DR,636,7,28.1,33.2,2022/03/28 07:00:00+00,Arterial,2022,140
1210,BASELINE RD,BALA DR,PRICE FREEWAY,559,7,64.6,69.2,2022/03/28 07:00:00+00,Arterial,2022,141
1215,BASELINE RD,PRICE FREEWAY,CITY LIMIT,436,7,80.2,82.7,2022/03/28 07:00:00+00,Arterial,2022,142
1220,SOUTHERN AV, 48TH ST,FAIR LN,723,6,69.9,73,2022/03/28 07:00:00+00,Arterial,2022,143
1230,SOUTHERN AV,FAIR LN,POTTER RD,1152,6,34.3,38.3,2022/03/28 07:00:00+00,Arterial,2022,144
1240,SOUTHERN AV,POTTER RD,I-10,1475,6,37.6,41.7,2022/03/28 07:00:00+00,Arterial,2022,145
1250,SOUTHERN AV,I-10,CLEMINTINE DR,1259,6,42.8,47,2022/03/28 07:00:00+00,Arterial,2022,146
1260,SOUTHERN AV,CLEMINTINE DR,ALBERT AV,269,6,30.8,34.6,2022/03/28 07:00:00+00,Arterial,2022,147
1270,SOUTHERN AV,ALBERT AV,PRIEST DR,610,6,62.6,66.3,2022/03/28 07:00:00+00,Arterial,2022,148
1280,SOUTHERN AV,PRIEST DR,MARGO DR,492,6,62.7,66.3,2022/03/28 07:00:00+00,Arterial,2022,149
1290,SOUTHERN AV,MARGO DR,SHAFER DR,739,6,60.4,64.3,2022/03/28 07:00:00+00,Arterial,2022,150
470,ELLIOT RD,LA ROSA DR,RURAL RD,666,3,36.2,39.9,2022/03/26 07:00:00+00,Arterial,2022,151
1780,BROADWAY RD,COLLEGE AV,EL CAMINO DR,330,5,73.3,76.6,2022/03/28 07:00:00+00,Arterial,2022,152
1300,SOUTHERN AV,SHAFER DR,WESTFALL AV,392,6,44.4,48.6,2022/03/28 07:00:00+00,Arterial,2022,153
53121,VETRANS WY,6TH ST,COLLEGE AV,1656,3,32.6,36.2,2022/03/26 07:00:00+00,Arterial,2022,154
1310,SOUTHERN AV,WESTFALL AV,HARDY DR,1136,6,56.8,60.8,2022/03/28 07:00:00+00,Arterial,2022,155
1790,BROADWAY RD,EL CAMINO DR,SIERRA VISTA DR,866,5,76.2,79.4,2022/03/28 07:00:00+00,Arterial,2022,156
480,ELLIOT RD,RURAL RD,JEN TILLY LN,520,3,46,49.8,2022/03/26 07:00:00+00,Arterial,2022,157
1320,SOUTHERN AV,HARDY DR,ROOSEVELT ST,1303,6,42.7,46.9,2022/03/28 07:00:00+00,Arterial,2022,158
1800,BROADWAY RD,SIERRA VISTA DR,LA ROSA DR,659,5,75.1,78.3,2022/03/28 07:00:00+00,Arterial,2022,159
42241,ALAMEDA DR,JEN TILLY LN,RURAL RD,440,3,53.5,57.1,2022/03/26 07:00:00+00,Arterial,2022,160
490,ELLIOT RD,JEN TILLY LN,RITA LN,775,3,41.3,45.1,2022/03/26 07:00:00+00,Arterial,2022,161
42251,ALAMEDA DR,BONARDEN LN,JEN TILLY LN,275,3,57.8,61.5,2022/03/26 07:00:00+00,Arterial,2022,162
500,ELLIOT RD,RITA LN,TERRACE RD,679,3,28.2,31.5,2022/03/26 07:00:00+00,Arterial,2022,163
42261,ALAMEDA DR,RITA LN,BONARDEN LN,295,3,46.3,50.1,2022/03/26 07:00:00+00,Arterial,2022,164
510,ELLIOT RD,TERRACE RD,LAKESHORE DR,739,3,28.6,32,2022/03/26 07:00:00+00,Arterial,2022,165
42271,ALAMEDA DR,RITA LN,RITA LN,293,3,39.5,43.3,2022/03/26 07:00:00+00,Arterial,2022,166
520,ELLIOT RD,LAKESHORE DR,JUNIPER ST,1026,3,49.9,53.8,2022/03/26 07:00:00+00,Arterial,2022,167
42281,ALAMEDA DR,TERRACE RD,RITA LN,280,3,29.8,33.2,2022/03/26 07:00:00+00,Arterial,2022,168
530,ELLIOT RD,JUNIPER ST,JUNIPER ST,326,3,45.4,49.3,2022/03/26 07:00:00+00,Arterial,2022,169
42291,ALAMEDA DR,MORROW ST,TERRACE RD,532,3,34.5,38.1,2022/03/26 07:00:00+00,Arterial,2022,170
540,ELLIOT RD,JUNIPER ST,WILLOW DR,216,3,24,27,2022/03/26 07:00:00+00,Arterial,2022,171
42301,ALAMEDA DR,MAE PL,MORROW ST,262,3,48.5,52.4,2022/03/26 07:00:00+00,Arterial,2022,172
550,ELLIOT RD,WILLOW DR,MCCLINTOCK DR,1133,3,32.1,35.6,2022/03/26 07:00:00+00,Arterial,2022,173
42311,ALAMEDA DR,KENNETH PL,MAE PL,285,3,51.8,55.6,2022/03/26 07:00:00+00,Arterial,2022,174
560,ELLIOT RD,MCCLINTOCK DR,S KACHINA DR,685,3,57.3,61.9,2022/03/26 07:00:00+00,Arterial,2022,175
42321,ALAMEDA DR,DORSEY LN,KENNETH PL,727,3,73.1,75.9,2022/03/26 07:00:00+00,Arterial,2022,176
570,ELLIOT RD,S KACHINA DR,LOS FELIZ DR,685,3,69.3,72.4,2022/03/26 07:00:00+00,Arterial,2022,177
45211,EL PARQUE DR,MCCLINTOCK DR,BROADMOR DR,385,3,75.9,78.4,2022/03/26 07:00:00+00,Arterial,2022,178
580,ELLIOT RD,LOS FELIZ DR,COUNTRY CLUB WAY,1349,3,69.5,72.5,2022/03/26 07:00:00+00,Arterial,2022,179
8185,13TH ST ALLEY,END,FOREST AV,813,3,75.3,77.9,2022/03/26 07:00:00+00,Arterial,2022,180
590,ELLIOT RD,COUNTRY CLUB WAY,RIVER PARKWAY,1446,3,76.2,78.6,2022/03/26 07:00:00+00,Arterial,2022,181
41261,INDUSTRIAL PARK DR,23RD ST,ALAMEDA DR,1330,3,66.9,70.1,2022/03/26 07:00:00+00,Arterial,2022,182
600,ELLIOT RD,RIVER PARKWAY,S PRICE RD,1116,3,71.2,74,2022/03/26 07:00:00+00,Arterial,2022,183
41271,INDUSTRIAL PARK DR,BROADWAY RD,23RD ST,1336,3,70.2,73,2022/03/26 07:00:00+00,Arterial,2022,184
610,GUADALUPE RD,CITY LIMIT,PARKSIDE DR,239,5,72.7,75.3,2022/03/26 07:00:00+00,Arterial,2022,185
620,GUADALUPE RD,PARKSIDE DR,HARDY DR,446,5,79,81.3,2022/03/26 07:00:00+00,Arterial,2022,186
630,GUADALUPE RD,HARDY DR,MCKEMY ST,1023,5,88.9,88.9,2023/05/15 07:00:00+00,Arterial,2023,187
640,GUADALUPE RD,MCKEMY ST,MCKEMY ST,162,5,83.3,85.1,2022/03/26 07:00:00+00,Arterial,2022,188
650,GUADALUPE RD,MCKEMY ST,ROOSEVELT ST,430,5,80.7,82.8,2022/03/26 07:00:00+00,Arterial,2022,189
660,GUADALUPE RD,ROOSEVELT ST,KYRENE RD,1095,5,79.1,81.3,2022/03/26 07:00:00+00,Arterial,2022,190
670,GUADALUPE RD,KYRENE RD,ASH AV,1343,5,77.7,80.1,2022/03/26 07:00:00+00,Arterial,2022,191
680,GUADALUPE RD,ASH AV,ASH AV,433,5,78.8,81.3,2022/03/26 07:00:00+00,Arterial,2022,192
690,GUADALUPE RD,ASH AV,MAPLE AV,379,5,82.6,84.7,2022/03/26 07:00:00+00,Arterial,2022,193
700,GUADALUPE RD,MAPLE AV,MAPLE AV,179,5,83,85,2022/03/26 07:00:00+00,Arterial,2022,194
710,GUADALUPE RD,MAPLE AV,ALL AMERICAN WY,569,5,75.3,78,2022/03/26 07:00:00+00,Arterial,2022,195
720,GUADALUPE RD,ALL AMERICAN WY,FOREST AV,285,5,74.1,77,2022/03/26 07:00:00+00,Arterial,2022,196
730,GUADALUPE RD,FOREST AV,COLLEGE AV,610,5,77.4,79.9,2022/03/26 07:00:00+00,Arterial,2022,197
740,GUADALUPE RD,COLLEGE AV,COLLEGE AV,126,5,80.2,82.4,2022/03/26 07:00:00+00,Arterial,2022,198
750,GUADALUPE RD,COLLEGE AV,EL CAMINO DR,69,5,73.6,76.5,2022/03/26 07:00:00+00,Arterial,2022,199
760,GUADALUPE RD,EL CAMINO DR,LA CORTA DR,213,5,74.7,77.5,2022/03/26 07:00:00+00,Arterial,2022,200
770,GUADALUPE RD,LA CORTA DR,MCALLISTER AV,243,5,73.6,76.5,2022/03/26 07:00:00+00,Arterial,2022,201
780,GUADALUPE RD,MCALLISTER AV,LA ROSA DR,295,5,75.9,78.6,2022/03/26 07:00:00+00,Arterial,2022,202
790,GUADALUPE RD,LA ROSA DR,RURAL RD,669,5,72,74.9,2022/03/26 07:00:00+00,Arterial,2022,203
800,GUADALUPE RD,RURAL RD,TERRACE DR,1472,5,76.4,78.8,2022/03/26 07:00:00+00,Arterial,2022,204
810,GUADALUPE RD,TERRACE DR,STANLEY PL,630,5,77.5,79.8,2022/03/26 07:00:00+00,Arterial,2022,205
820,GUADALUPE RD,STANLEY PL,LAKESHORE DR,620,5,81.2,83.2,2022/03/26 07:00:00+00,Arterial,2022,206
1810,BROADWAY RD,LA ROSA DR,GRANADA DR,323,5,74.7,78,2022/03/28 07:00:00+00,Arterial,2022,207
1820,BROADWAY RD,GRANADA DR,RURAL RD,533,5,72.3,75.6,2022/03/28 07:00:00+00,Arterial,2022,208
1830,BROADWAY RD,RURAL RD,JEN TILLY LN,807,3,64.6,67.9,2022/03/28 07:00:00+00,Arterial,2022,209
8181,13TH ST,APACHE BL,MILL AV,855,3,69.7,72.6,2022/03/28 07:00:00+00,Arterial,2022,210
1840,BROADWAY RD,JEN TILLY LN,TERRACE RD,352,3,70.6,73.5,2022/03/28 07:00:00+00,Arterial,2022,211
