SECTION_NUMBER,ON_STREET,FROM_STREET,TO_STREET,LENGTH,COUNT_,CURRENT_PQI,MEASURED_PQI,PQI_DATE,CLASS,YEAR,ObjectId
3371,RIO SALADO PARKWAY,INDUSTRIAL DR,MCCLINTOCK DR,903,2,32.6,39.8,2021/03/19 07:00:00+00,Local,2021,1279
14750,DROMEDARY DR,PALOMINO DR,EL FREDA RD,260,2,81.4,82.2,2021/06/25 07:00:00+00,Local,2021,1280
17360,CALLE DE CABALLOS,CALLE DE CABALLOS,CALLE DE CABALLOS,2632,2,58.3,65.4,2021/03/20 07:00:00+00,Local,2021,1281
17370,CALLE DE CABALLOS,CALLE DE CABALLOS,MCCLINTOCK DR,1498,2,54.1,61.6,2021/03/20 07:00:00+00,Local,2021,1282
17380,CALLE DE CABALLOS,MCCLINTOCK DR,KACHINA DR,349,2,28,34.6,2021/03/20 07:00:00+00,Local,2021,1283
17390,CALLE DE CABALLOS,KACHINA DR,TAYLOR DR,595,2,32.6,39.8,2021/03/20 07:00:00+00,Local,2021,1284
17400,CALLE DE CABALLOS,TAYLOR DR,CALLE DE CABALLOS DR,444,2,31.6,38.8,2021/03/20 07:00:00+00,Local,2021,1285
17410,CALLE DE CABALLOS,CALLE DE CABALLOS DR,LOS FELIZ DR,315,2,51.5,59,2021/03/20 07:00:00+00,Local,2021,1286
17420,CALLE DE CABALLOS,LOS FELIZ DR,CALLE DE CABALLOS DR,253,2,40,48.5,2021/03/20 07:00:00+00,Collector,2021,1287
17430,CALLE DE CABALLOS,CALLE DE CABALLOS DR,HAZELTON LN,283,2,36.4,44.7,2021/03/20 07:00:00+00,Collector,2021,1288
17440,HAZELTON LN,CALLE DE CABALLOS,BUENA VISTA DR,154,2,32.9,41,2021/03/20 07:00:00+00,Collector,2021,1289
17450,HAZELTON LN,BUENA VISTA DR,BUENA VISTA DR,93,2,58.8,66.5,2021/03/20 07:00:00+00,Collector,2021,1290
17460,HAZELTON LN,BUENA VISTA DR,CARVER RD,265,2,51.4,59.3,2021/03/20 07:00:00+00,Collector,2021,1291
17470,LOS FELIZ DR,CARVER RD,KENTUCKY LN,286,2,41.7,50.1,2021/03/20 07:00:00+00,Collector,2021,1292
17480,LOS FELIZ DR,KENTUCKY LN,LOS FELIZ CR,275,2,55.7,63.5,2021/03/20 07:00:00+00,Collector,2021,1293
17490,LOS FELIZ DR,LOS FELIZ CR,BELMONT DR,332,2,56.6,64.2,2021/03/20 07:00:00+00,Collector,2021,1294
17500,LOS FELIZ DR,BELMONT DR,BELMONT DR,291,2,30.6,38.4,2021/03/20 07:00:00+00,Collector,2021,1295
17510,LOS FELIZ DR,BELMONT DR,VELVET DR,286,2,51.1,59.4,2021/03/20 07:00:00+00,Collector,2021,1296
17520,LOS FELIZ DR,VELVET DR,SECRETARIAT DR,289,2,54.4,62.5,2021/03/20 07:00:00+00,Collector,2021,1297
17530,LOS FELIZ DR,SECRETARIAT DR,VINEDO LN,288,2,65.9,72.8,2021/03/20 07:00:00+00,Collector,2021,1298
17540,LOS FELIZ DR,VINEDO LN,KRISTA WY,375,2,57.3,65.3,2021/03/20 07:00:00+00,Collector,2021,1299
17550,LOS FELIZ DR,KRISTA WY,SUNBURST LN,360,2,51.6,60.1,2021/03/20 07:00:00+00,Collector,2021,1300
17560,LOS FELIZ DR,SUNBURST LN,ELLIOT RD,189,2,26.9,34.4,2021/03/20 07:00:00+00,Collector,2021,1301
17570,S LOS FELIZ DR,ELLIOT RD,ANOZIRA PKWY S,703,2,67.9,74.1,2021/03/20 07:00:00+00,Local,2021,1302
3391,RIO SALADO PARKWAY,SMITH RD,PERRY LN,1356,2,57.4,75.5,2018/02/14 07:00:00+00,Collector,2018,1303
17580,PALOMINO DR,MCCLINTOCK DR,KACHINA DR,323,2,29.1,36,2021/03/20 07:00:00+00,Local,2021,1304
17590,PALOMINO DR,KACHINA DR,KACHINA DR,335,2,35.1,42.4,2021/03/20 07:00:00+00,Local,2021,1305
17600,PALOMINO DR,KACHINA DR,TAYLOR DR,270,2,30.9,37.9,2021/03/20 07:00:00+00,Local,2021,1306
17610,PALOMINO DR,TAYLOR DR,PALOMINO DR,370,2,36.1,43.5,2021/03/20 07:00:00+00,Local,2021,1307
17620,PALOMINO DR,PALOMINO DR,LOS FELIZ DR,355,2,35.2,42.6,2021/03/20 07:00:00+00,Local,2021,1308
17630,PALOMINO DR,LOS FELIZ DR,KENWOOD LN,867,2,33.2,40.5,2021/03/20 07:00:00+00,Local,2021,1309
17640,PALOMINO DR,END,PALOMINO DR,124,2,21.7,27.5,2021/03/20 07:00:00+00,Local,2021,1310
17650,PALOMINO DR,PALOMINO DR,END,132,2,19.5,25,2021/03/20 07:00:00+00,Local,2021,1311
17660,COLT DR,KACHINA DR,TAYLOR DR,279,2,28.5,35.3,2021/03/20 07:00:00+00,Local,2021,1312
17670,COLT DR,TAYLOR DR,LOS FELIZ DR,558,2,35,42.4,2021/03/20 07:00:00+00,Local,2021,1313
17680,TAYLOR DR,COLT DR,END,211,2,22.7,28.8,2021/03/20 07:00:00+00,Local,2021,1314
17690,KACHINA DR,PALOMINO DR,COLT DR,440,2,34.9,42.3,2021/03/20 07:00:00+00,Local,2021,1315
17700,KACHINA DR,PALOMINO DR,EL FREDA RD,261,2,25.7,32.2,2021/03/20 07:00:00+00,Local,2021,1316
17710,KACHINA DR,EL FREDA RD,CALLE DE CABALLOS,350,2,33.1,40.3,2021/03/20 07:00:00+00,Local,2021,1317
17720,KACHINA DR,CALLE DE CABALLOS,BUENA VISTA DR,348,2,34.6,42,2021/03/20 07:00:00+00,Local,2021,1318
17730,KACHINA DR,BUENA VISTA DR,CARVER RD,339,2,29.9,37,2021/03/20 07:00:00+00,Local,2021,1319
17740,KACHINA DR,CARVER RD,CITATION LN,464,2,30.4,37.4,2021/03/20 07:00:00+00,Local,2021,1320
17750,BUENA VISTA DR,KACHINA DR,END,253,2,21.8,27.8,2021/03/20 07:00:00+00,Local,2021,1321
17760,EL FREDA RD,KACHINA DR,END,308,2,28,34.7,2021/03/20 07:00:00+00,Local,2021,1322
17770,LOS ARBOLES DR,LOS FELIZ DR,END,418,2,26.7,33.3,2021/03/20 07:00:00+00,Local,2021,1323
17780,CALLE MONTE VISTA DR,LOS FELIZ DR,HOLBROOK LN,299,2,22.8,29,2021/03/20 07:00:00+00,Local,2021,1324
17790,CALLE MONTE VISTA DR,HOLBROOK LN,KENWOOD LN,436,2,33,40.2,2021/03/20 07:00:00+00,Local,2021,1325
17800,LOS ARBOLES DR,KENWOOD LN,END,427,2,37.1,44.6,2021/03/20 07:00:00+00,Local,2021,1326
17810,HOLBROOK LN,CALLE MONTE VISTA DR,MORGAN DR,381,2,29.1,36,2021/03/20 07:00:00+00,Local,2021,1327
15240,MAPLE AV CDS,MAPLE AV,END,166,2,22.8,28.9,2021/03/19 07:00:00+00,Local,2021,1328
15920,MILL AV,VINEDO LN,LOUIS WY,307,2,61.5,68.3,2021/03/19 07:00:00+00,Local,2021,1329
15250,LOS ARBOLES DR,END,MILL AV,246,2,29.7,36.6,2021/03/18 07:00:00+00,Local,2021,1330
3381,RIO SALADO PARKWAY,PERRY LN,INDUSTRIAL DR,449,2,29.9,36.9,2021/03/19 07:00:00+00,Local,2021,1331
15930,MILL AV,LOUIS WY,KRISTA LN,323,2,59.6,66.6,2021/03/19 07:00:00+00,Local,2021,1332
15940,MILL AV,KRISTA LN,ELLIOT RD,400,2,59,66,2021/03/19 07:00:00+00,Local,2021,1333
15950,CITATION LN,ASH AV,MILL AV,716,2,36.4,43.9,2021/03/19 07:00:00+00,Local,2021,1334
15960,ASH AV,CITATION LN,SECRETARIAT DR,285,2,32.4,39.6,2021/03/19 07:00:00+00,Local,2021,1335
15970,SECRETARIAT DR,ASH AV,MILL AV,683,2,29.1,35.9,2021/03/19 07:00:00+00,Local,2021,1336
