STATEFP,ELSDLEA,SCSDLEA,UNSDLEA,GEOID,NAME,LSAD,LOGRADE,HIGRADE,SDTYP,FUNCSTAT,ALAND,AWATER,INTPTLAT,INTPTLON,GEO_YEAR,SCHOOLYEAR,Shape_Length,Shape_Area,OBJECTID
06, ,38730, ,0638730,Taft Union High School District,00,09,12, ,E,1441819224,2410560,+35.3198328,-119.6178338,2018,2017-2018,2.68405777499369,0.143161645751011,32
06, ,41430, ,0641430,Wasco Union High School District,00,09,12, ,E,1991512575,4717058,+35.6380655,-119.7608514,2018,2017-2018,3.02930757015789,0.198647392033497,33
06, ,21270, ,0621270,Le Grand Union High School District,00,09,12, ,E,465322621,0,+37.2358769,-120.2614015,2018,2017-2018,1.13395659350535,0.0472500144069993,34
06, ,24660, ,0624660,Merced Union High School District,00,09,12, ,E,1803931124,9497004,+37.3573198,-120.5256084,2018,2017-2018,2.43881073502965,0.1844320072225,35
06, ,06038, ,0606038,Healdsburg Unified School District (7-12),00,07,12,A,F,368813934,1103730,+38.7021284,-122.8741436,2018,2017-2018,1.90899328206546,0.0382690410865138,36
06, ,09810, ,0609810,Corning Union High School District,00,09,12, ,E,1570562599,14233130,+39.8936816,-122.4874293,2018,2017-2018,2.56123701935037,0.166898138398013,37
06, ,32010, ,0632010,Red Bluff Joint Union High School District,00,09,12, ,E,5520210848,18078873,+40.2517171,-122.1687142,2018,2017-2018,5.34537952529203,0.586039806912491,38
06, ,14760, ,0614760,Fullerton Joint Union High School District,00,09,12, ,E,112064141,173320,+33.9036909,-117.9491871,2018,2017-2018,0.66282529299154,0.0109402636184995,39
06, ,08160, ,0608160,Chaffey Joint Union High School District,00,09,12, ,E,423267179,99794,+34.1385568,-117.5776791,2018,2017-2018,1.29177916024808,0.0413809152490017,40
06, ,06006, ,0606006,Trinity Alps Unified School District (9-12),00,09,12,A,F,2968843743,65289153,+40.9170777,-123.0617825,2018,2017-2018,5.8829585102613,0.324392728106006,41
06, ,06025, ,0606025,Hamilton Unified School District (9-12),00,09,12,A,F,30867817,929530,+39.7787191,-122.0754139,2018,2017-2018,0.291245166520992,0.00334291628849501,42
06, ,06003, ,0606003,Twin Rivers Unified School District (9-12),00,09,12,A,F,64094764,36883,+38.7392057,-121.4806566,2018,2017-2018,0.52181947178127,0.00664449439650231,43
06, ,06004, ,0606004,Twin Rivers Unified School District (7-12),00,07,12,A,F,25662735,0,+38.6551086,-121.4473217,2018,2017-2018,0.253174023193804,0.00265582483950022,44
06, ,02670, ,0602670,West Sonoma County Union High School District,00,09,12, ,E,835756691,195335943,+38.4845855,-123.0858851,2018,2017-2018,2.56144482757773,0.0865377091628212,45
06, ,35830, ,0635830,Santa Rosa High School District,00,07,12, ,E,476361859,859758,+38.4570453,-122.6692775,2018,2017-2018,1.42559080294996,0.0492549665545007,46
06, ,21060, ,0621060,Lassen Union High School District,00,09,12, ,E,6353914804,381951422,+40.6096275,-120.4598515,2018,2017-2018,3.93831114721053,0.716551991903486,47
06, ,06026, ,0606026,Woodlake Unified School District (9-12),00,09,12,A,F,1873057492,6070456,+36.4369892,-118.6715322,2018,2017-2018,2.85135687054962,0.18888070932049,48
06, ,06028, ,0606028,Exeter Unified School District (9-12),00,09,12,A,F,131048748,3118304,+36.3284174,-119.0944632,2018,2017-2018,0.892039673204538,0.0134661350474999,49
06, ,35670, ,0635670,Santa Maria Joint Union High School District,00,09,12, ,E,1462819841,159615848,+34.8746921,-120.3547359,2018,2017-2018,2.33052960461579,0.14497337124454,50
06, ,35850, ,0635850,Santa Ynez Valley Union High School District,00,09,12, ,E,3040023450,223865110,+34.6358707,-119.8949947,2018,2017-2018,3.39594747770211,0.300596270282997,51
06, ,11700, ,0611700,Dunsmuir Joint Union High School District,00,09,12, ,E,666714228,2649732,+41.1423017,-122.3099775,2018,2017-2018,1.50562018372985,0.0717942253870009,52
06, ,19830, ,0619830,Kingsburg Joint Union High School District,00,09,12, ,E,253780304,932528,+36.4693360,-119.5329896,2018,2017-2018,1.09940505858887,0.0256131162519997,53
06, ,34140, ,0634140,San Benito High School District,00,09,12, ,E,2659329110,1723380,+36.6535732,-121.0991880,2018,2017-2018,3.46785581460244,0.268194778217487,54
06, ,03030, ,0603030,Northern Humboldt Union High School District,00,09,12, ,E,1820948098,33805634,+40.9732204,-123.9086351,2018,2017-2018,3.62770172102679,0.196316643272632,55
06, ,14190, ,0614190,Fortuna Union High School District,00,09,12, ,E,1457888192,18490081,+40.4911526,-123.8367639,2018,2017-2018,3.44626565189982,0.15546433142731,56
06, ,07920, ,0607920,Centinela Valley Union High School District,00,09,12, ,E,23876392,91685,+33.9102802,-118.3480805,2018,2017-2018,0.265512025813408,0.00233648741449883,57
06, ,42510, ,0642510,William S. Hart Union High School District,00,07,12, ,E,1013510116,14081195,+34.4865899,-118.5520181,2018,2017-2018,1.49474792760986,0.100837187532,58
06, ,08550, ,0608550,Chowchilla Union High School District,00,09,12, ,E,584104181,2395288,+37.0721241,-120.2969305,2018,2017-2018,1.39258305996991,0.0594270487304917,59
06, ,06053, ,0606053,Gonzales Unified School District (9-12),00,09,12,A,F,262182933,2187066,+36.5703361,-121.5176166,2018,2017-2018,1.17197993916106,0.0265994213404947,60
06, ,25150, ,0625150,Modesto City High School District,00,09,12, ,E,430260451,3641633,+37.6623610,-121.0342213,2018,2017-2018,1.62480434361645,0.0443073042014983,61
06, ,06018, ,0606018,Washington Unified School District (9-12),00,09,12,A,F,116674615,94412,+36.6451008,-119.7975716,2018,2017-2018,0.72841427260855,0.0117671204625031,62
06, ,06016, ,0606016,Dinuba Unified School District (9-12),00,09,12,A,F,73237774,0,+36.4906075,-119.3401553,2018,2017-2018,0.662621996990511,0.00736787197000006,63
06, ,18930, ,0618930,Jefferson Union High School District,00,09,12, ,E,83564591,142478499,+37.6902096,-122.4962693,2018,2017-2018,0.670986755963757,0.00857517178726954,64
06, ,36972, ,0636972,Victor Valley Union High School District,00,07,12, ,E,1424343490,5156020,+34.6630872,-117.4472770,2018,2017-2018,1.6757785146178,0.1405796996245,65
06, ,06019, ,0606019,Santa Barbara Unified School District (7-12),00,07,12,A,F,291564722,178335011,+34.4401000,-119.8456870,2018,2017-2018,1.20378281691729,0.0287853780342963,66
06, ,14820, ,0614820,Galt Joint Union High School District,00,09,12, ,E,669657058,7125442,+38.2857504,-121.2399046,2018,2017-2018,1.8946192859013,0.06968375184099,67
06, ,26880, ,0626880,Nevada Joint Union High School District,00,09,12, ,E,1886919494,28189930,+39.2776911,-120.9336868,2018,2017-2018,2.6759756146792,0.199914323536001,68
06, ,12910, ,0612910,Escondido Union High School District,00,09,12, ,E,272444539,3141331,+33.1232648,-117.0594888,2018,2017-2018,1.10740176788289,0.0266259583565016,69
06, ,13530, ,0613530,Fallbrook Union High School District,00,09,12, ,E,717819333,99500323,+33.3802376,-117.3901004,2018,2017-2018,1.50443324249608,0.0695176460608563,70
06, ,16230, ,0616230,Grossmont Union High School District,00,09,12, ,E,1210852101,18237309,+32.7738000,-116.8184315,2018,2017-2018,2.00876374583543,0.118291596612318,71
06, ,19110, ,0619110,Julian Union High School District,00,09,12, ,E,1624960050,3926945,+33.0470228,-116.4590731,2018,2017-2018,2.28249117764761,0.157222783189511,72
06, ,34380, ,0634380,San Dieguito Union High School District,00,07,12, ,E,209030533,108314193,+33.0161063,-117.2545162,2018,2017-2018,0.709464306465942,0.0204299373186056,73
06, ,38640, ,0638640,Sweetwater Union High School District,00,07,12, ,E,388996257,22126749,+32.6013622,-116.9860813,2018,2017-2018,1.52973718866321,0.037985699865504,74
06, ,10860, ,0610860,Delano Joint Union High School District,00,09,12, ,E,1197024010,5348009,+35.7630952,-119.2469519,2018,2017-2018,2.65456780790242,0.1198322024115,75
06, ,39930, ,0639930,Tulare Joint Union High School District,00,09,12, ,E,942066565,1568481,+36.1055200,-119.3706428,2018,2017-2018,1.76244378774327,0.0944544063465023,76
06, ,06107, ,0606107,Porterville Unified School District (9-12),00,09,12,A,F,4879220864,1183581,+36.0714985,-118.5589548,2018,2017-2018,6.70041085126495,0.488104675608982,77
06, ,01650, ,0601650,Acalanes Union High School District,00,09,12, ,E,204876990,4415415,+37.8781816,-122.1301909,2018,2017-2018,0.919837200653357,0.0214322628554982,78
06, ,21600, ,0621600,Liberty Union High School District,00,09,12, ,E,503033380,61858556,+37.9222276,-121.6683590,2018,2017-2018,1.44290115761976,0.0578840571329992,79
06, ,08010, ,0608010,Central Union High School District,00,09,12, ,E,405475149,177538,+32.7410776,-115.6421516,2018,2017-2018,1.27074373955518,0.0390263406079958,80
06, ,06020, ,0606020,Lammersville Joint Unified School District (9-12),00,09,12,A,F,70258461,1041286,+37.7444188,-121.5788115,2018,2017-2018,0.405395168149289,0.00728866797249905,81
06, ,02820, ,0602820,Antelope Valley Union Joint High School District,00,09,12, ,E,3597801139,18975485,+34.6548837,-118.1499193,2018,2017-2018,3.30559452965468,0.355654240042511,82
06, ,06037, ,0606037,Alhambra Unified School District (9-12),00,09,12,A,F,11664643,120610,+34.0587656,-118.0964295,2018,2017-2018,0.187078285243776,0.00115085803549962,83
06, ,12120, ,0612120,El Monte Union High School District,00,09,12, ,E,54666962,3700700,+34.0695217,-118.0378986,2018,2017-2018,0.399150035827002,0.0057003751085002,84
