ObjectId,YEAR,MONTH,Number_of_Tags_Issued,animal_type,zip_code
940,2014,7,3,DOG,40212
941,2014,7,1,DOG,40213
942,2014,7,7,DOG,40214
943,2014,7,5,DOG,40215
944,2014,7,6,DOG,40216
945,2014,7,1,DOG,40217
946,2014,7,12,DOG,40218
947,2014,7,10,DOG,40219
948,2014,7,11,DOG,40220
949,2014,7,4,DOG,40222
950,2014,7,5,DOG,40223
951,2014,4,1,CAT,40203
952,2014,4,7,CAT,40205
953,2014,4,1,CAT,40206
954,2014,4,2,CAT,40211
955,2014,4,2,CAT,40214
956,2014,4,3,CAT,40215
957,2014,4,1,CAT,40216
958,2014,4,4,CAT,40217
959,2014,4,1,CAT,40218
960,2014,4,1,CAT,40219
961,2014,4,1,CAT,40222
962,2014,4,3,CAT,40223
963,2014,4,1,CAT,40228
964,2014,4,3,CAT,40229
965,2014,4,10,CAT,40241
966,2014,4,1,CAT,40243
967,2014,4,1,CAT,40245
968,2014,4,2,CAT,40258
969,2014,4,2,CAT,40268
970,2014,4,6,CAT,40272
971,2014,4,3,CAT,40299
972,2014,4,1,DOG,
973,2014,4,3,DOG,40059
974,2014,4,2,DOG,40118
975,2014,4,1,DOG,40202
976,2014,4,4,DOG,40203
977,2014,4,3,DOG,40204
978,2014,4,6,DOG,40205
979,2014,4,5,DOG,40206
980,2014,4,9,DOG,40207
981,2014,4,1,DOG,40208
982,2014,4,1,DOG,40210
983,2014,4,1,DOG,40211
984,2014,4,6,DOG,40212
985,2014,4,4,DOG,40213
986,2014,4,12,DOG,40214
987,2014,4,4,DOG,40215
988,2014,4,10,DOG,40216
989,2014,4,3,DOG,40217
990,2014,4,7,DOG,40218
991,2014,4,12,DOG,40219
992,2014,4,4,DOG,40220
993,2014,4,2,DOG,40222
994,2014,4,10,DOG,40223
995,2014,4,3,DOG,40228
996,2014,4,10,DOG,40229
997,2014,4,10,DOG,40241
998,2014,4,3,DOG,40242
999,2014,4,3,DOG,40243
1000,2014,4,5,DOG,40245
1001,2014,8,2,DOG,40206
1002,2014,8,6,DOG,40207
1003,2014,8,2,DOG,40210
1004,2014,8,1,DOG,40211
1005,2014,8,4,DOG,40212
1006,2014,8,1,DOG,40213
1007,2014,8,2,DOG,40214
1008,2014,8,2,DOG,40215
1009,2014,8,12,DOG,40216
1010,2014,8,6,DOG,40217
1011,2014,8,1,DOG,40218
1012,2014,8,10,DOG,40219
1013,2014,8,7,DOG,40220
1014,2014,8,7,DOG,40222
1015,2014,8,4,DOG,40223
1016,2014,8,3,DOG,40228
1017,2014,8,4,DOG,40229
1018,2014,8,6,DOG,40241
1019,2014,8,3,DOG,40258
1020,2014,8,2,DOG,40268
1021,2014,8,10,DOG,40272
1022,2014,8,9,DOG,40291
1023,2014,8,9,DOG,40299
1024,2014,8,1,DOG,40601
1025,2014,9,1,,40241
1026,2014,9,1,CAT,40118
1027,2014,9,1,CAT,40204
1028,2014,9,6,CAT,40205
1029,2014,9,1,CAT,40206
1030,2014,9,1,CAT,40207
1031,2014,9,4,CAT,40208
1032,2014,9,4,CAT,40213
1033,2014,9,10,CAT,40214
1034,2014,9,4,CAT,40215
1035,2014,9,3,CAT,40216
1036,2014,9,2,CAT,40218
1037,2014,9,4,CAT,40219
1038,2014,9,1,CAT,40220
1039,2014,9,1,CAT,40222
1040,2014,9,1,CAT,40223
1041,2014,9,1,CAT,40228
1042,2014,9,3,CAT,40229
1043,2014,9,1,CAT,40243
1044,2014,9,4,CAT,40258
1045,2014,9,6,CAT,40272
1046,2014,9,3,CAT,40291
1047,2014,9,1,DOG,32780
1048,2014,9,1,DOG,40059
